Day;Month;Year;Date;plot;subplot;Sp.Focal;Sp.Focal.Simpe;Plantas;Observaciones
14;5;2019;14/05/2019;1;A1;BEMA;BEMA;0;
14;5;;14/05/2019;1;A2;BEMA;BEMA;0;
14;5;;14/05/2019;1;A3;BEMA;BEMA;0;
14;5;;14/05/2019;1;A4;BEMA;BEMA;0;
14;5;;14/05/2019;1;A5;BEMA;BEMA;0;
14;5;;14/05/2019;1;A6;BEMA;BEMA;0;
14;5;;14/05/2019;1;B1;BEMA;BEMA;0;
14;5;;14/05/2019;1;B2;BEMA;BEMA;0;
14;5;;14/05/2019;1;B3;BEMA;BEMA;0;
14;5;;14/05/2019;1;B4;BEMA;BEMA;0;
14;5;;14/05/2019;1;B5;BEMA;BEMA;0;
14;5;;14/05/2019;1;B6;BEMA;BEMA;0;
14;5;;14/05/2019;1;C1;BEMA;BEMA;0;
14;5;;14/05/2019;1;C2;BEMA;BEMA;0;
14;5;;14/05/2019;1;C3;BEMA;BEMA;0;
14;5;;14/05/2019;1;C4;BEMA;BEMA;0;
14;5;;14/05/2019;1;C5;BEMA;BEMA;0;
14;5;;14/05/2019;1;C6;BEMA;BEMA;0;
14;5;;14/05/2019;1;D1;BEMA;BEMA;0;
14;5;;14/05/2019;1;D2;BEMA;BEMA;0;
14;5;;14/05/2019;1;D3;BEMA;BEMA;0;
14;5;;14/05/2019;1;D4;BEMA;BEMA;0;
14;5;;14/05/2019;1;D5;BEMA;BEMA;0;
14;5;;14/05/2019;1;D6;BEMA;BEMA;0;
14;5;;14/05/2019;1;E1;BEMA;BEMA;0;
14;5;;14/05/2019;1;E2;BEMA;BEMA;0;
14;5;;14/05/2019;1;E3;BEMA;BEMA;0;
14;5;;14/05/2019;1;E4;BEMA;BEMA;0;
14;5;;14/05/2019;1;E5;BEMA;BEMA;0;
14;5;;14/05/2019;1;E6;BEMA;BEMA;0;
14;5;;14/05/2019;1;F1;BEMA;BEMA;0;
14;5;;14/05/2019;1;F2;BEMA;BEMA;0;
14;5;;14/05/2019;1;F3;BEMA;BEMA;0;
14;5;;14/05/2019;1;F4;BEMA;BEMA;0;
14;5;;14/05/2019;1;F5;BEMA;BEMA;0;
14;5;;14/05/2019;1;F6;BEMA;BEMA;0;
14;5;;14/05/2019;2;A1;BEMA;BEMA;0;
14;5;;14/05/2019;2;A2;BEMA;BEMA;0;
14;5;;14/05/2019;2;A3;BEMA;BEMA;0;
14;5;;14/05/2019;2;A4;BEMA;BEMA;0;
14;5;;14/05/2019;2;A5;BEMA;BEMA;0;
14;5;;14/05/2019;2;A6;BEMA;BEMA;0;
14;5;;14/05/2019;2;B1;BEMA;BEMA;0;
14;5;;14/05/2019;2;B2;BEMA;BEMA;0;
14;5;;14/05/2019;2;B3;BEMA;BEMA;0;
14;5;;14/05/2019;2;B4;BEMA;BEMA;0;
14;5;;14/05/2019;2;B5;BEMA;BEMA;0;
14;5;;14/05/2019;2;B6;BEMA;BEMA;30;
14;5;;14/05/2019;2;C1;BEMA;BEMA;0;
14;5;;14/05/2019;2;C2;BEMA;BEMA;0;
14;5;;14/05/2019;2;C3;BEMA;BEMA;0;
14;5;;14/05/2019;2;C4;BEMA;BEMA;0;
14;5;;14/05/2019;2;C5;BEMA;BEMA;0;
14;5;;14/05/2019;2;C6;BEMA;BEMA;0;
14;5;;14/05/2019;2;D1;BEMA;BEMA;0;
14;5;;14/05/2019;2;D2;BEMA;BEMA;0;
14;5;;14/05/2019;2;D3;BEMA;BEMA;0;
14;5;;14/05/2019;2;D4;BEMA;BEMA;0;
14;5;;14/05/2019;2;D5;BEMA;BEMA;0;
14;5;;14/05/2019;2;D6;BEMA;BEMA;0;
14;5;;14/05/2019;2;E1;BEMA;BEMA;0;
14;5;;14/05/2019;2;E2;BEMA;BEMA;0;
14;5;;14/05/2019;2;E3;BEMA;BEMA;0;
14;5;;14/05/2019;2;E4;BEMA;BEMA;0;
14;5;;14/05/2019;2;E5;BEMA;BEMA;0;
14;5;;14/05/2019;2;E6;BEMA;BEMA;0;
14;5;;14/05/2019;2;F1;BEMA;BEMA;0;
14;5;;14/05/2019;2;F2;BEMA;BEMA;0;
14;5;;14/05/2019;2;F3;BEMA;BEMA;0;
14;5;;14/05/2019;2;F4;BEMA;BEMA;0;
14;5;;14/05/2019;2;F5;BEMA;BEMA;0;
14;5;;14/05/2019;2;F6;BEMA;BEMA;0;
14;5;;14/05/2019;3;A1;BEMA;BEMA;0;
14;5;;14/05/2019;3;A2;BEMA;BEMA;0;
14;5;;14/05/2019;3;A3;BEMA;BEMA;0;
14;5;;14/05/2019;3;A4;BEMA;BEMA;0;
14;5;;14/05/2019;3;A5;BEMA;BEMA;0;
14;5;;14/05/2019;3;A6;BEMA;BEMA;0;
14;5;;14/05/2019;3;B1;BEMA;BEMA;0;
14;5;;14/05/2019;3;B2;BEMA;BEMA;0;
14;5;;14/05/2019;3;B3;BEMA;BEMA;0;
14;5;;14/05/2019;3;B4;BEMA;BEMA;0;
14;5;;14/05/2019;3;B5;BEMA;BEMA;0;
14;5;;14/05/2019;3;B6;BEMA;BEMA;0;
14;5;;14/05/2019;3;C1;BEMA;BEMA;0;
14;5;;14/05/2019;3;C2;BEMA;BEMA;0;
14;5;;14/05/2019;3;C3;BEMA;BEMA;0;
14;5;;14/05/2019;3;C4;BEMA;BEMA;0;
14;5;;14/05/2019;3;C5;BEMA;BEMA;0;
14;5;;14/05/2019;3;C6;BEMA;BEMA;0;
14;5;;14/05/2019;3;D1;BEMA;BEMA;0;
14;5;;14/05/2019;3;D2;BEMA;BEMA;0;
14;5;;14/05/2019;3;D3;BEMA;BEMA;0;
14;5;;14/05/2019;3;D4;BEMA;BEMA;0;
14;5;;14/05/2019;3;D5;BEMA;BEMA;0;
14;5;;14/05/2019;3;D6;BEMA;BEMA;0;
14;5;;14/05/2019;3;E1;BEMA;BEMA;0;
14;5;;14/05/2019;3;E2;BEMA;BEMA;0;
14;5;;14/05/2019;3;E3;BEMA;BEMA;0;
14;5;;14/05/2019;3;E4;BEMA;BEMA;0;
14;5;;14/05/2019;3;E5;BEMA;BEMA;0;
14;5;;14/05/2019;3;E6;BEMA;BEMA;0;
14;5;;14/05/2019;3;F1;BEMA;BEMA;0;
14;5;;14/05/2019;3;F2;BEMA;BEMA;0;
14;5;;14/05/2019;3;F3;BEMA;BEMA;0;
14;5;;14/05/2019;3;F4;BEMA;BEMA;0;
14;5;;14/05/2019;3;F5;BEMA;BEMA;0;
14;5;;14/05/2019;3;F6;BEMA;BEMA;0;
14;5;;14/05/2019;4;A1;BEMA;BEMA;0;
14;5;;14/05/2019;4;A2;BEMA;BEMA;0;
14;5;;14/05/2019;4;A3;BEMA;BEMA;1;
14;5;;14/05/2019;4;A4;BEMA;BEMA;2;
14;5;;14/05/2019;4;A5;BEMA;BEMA;0;
14;5;;14/05/2019;4;A6;BEMA;BEMA;0;
14;5;;14/05/2019;4;B1;BEMA;BEMA;0;
14;5;;14/05/2019;4;B2;BEMA;BEMA;0;
14;5;;14/05/2019;4;B3;BEMA;BEMA;2;
14;5;;14/05/2019;4;B4;BEMA;BEMA;0;
14;5;;14/05/2019;4;B5;BEMA;BEMA;3;
14;5;;14/05/2019;4;B6;BEMA;BEMA;0;
14;5;;14/05/2019;4;C1;BEMA;BEMA;1;
14;5;;14/05/2019;4;C2;BEMA;BEMA;0;
14;5;;14/05/2019;4;C3;BEMA;BEMA;0;
14;5;;14/05/2019;4;C4;BEMA;BEMA;0;
14;5;;14/05/2019;4;C5;BEMA;BEMA;0;
14;5;;14/05/2019;4;C6;BEMA;BEMA;0;
14;5;;14/05/2019;4;D1;BEMA;BEMA;0;
14;5;;14/05/2019;4;D2;BEMA;BEMA;0;
14;5;;14/05/2019;4;D3;BEMA;BEMA;0;
14;5;;14/05/2019;4;D4;BEMA;BEMA;0;
14;5;;14/05/2019;4;D5;BEMA;BEMA;0;
14;5;;14/05/2019;4;D6;BEMA;BEMA;0;
14;5;;14/05/2019;4;E1;BEMA;BEMA;2;
14;5;;14/05/2019;4;E2;BEMA;BEMA;0;
14;5;;14/05/2019;4;E3;BEMA;BEMA;0;
14;5;;14/05/2019;4;E4;BEMA;BEMA;0;
14;5;;14/05/2019;4;E5;BEMA;BEMA;1;
14;5;;14/05/2019;4;E6;BEMA;BEMA;0;
14;5;;14/05/2019;4;F1;BEMA;BEMA;0;
14;5;;14/05/2019;4;F2;BEMA;BEMA;0;
14;5;;14/05/2019;4;F3;BEMA;BEMA;0;
14;5;;14/05/2019;4;F4;BEMA;BEMA;0;
14;5;;14/05/2019;4;F5;BEMA;BEMA;0;
14;5;;14/05/2019;4;F6;BEMA;BEMA;0;
14;5;;14/05/2019;5;A1;BEMA;BEMA;0;
14;5;;14/05/2019;5;A2;BEMA;BEMA;0;
14;5;;14/05/2019;5;A3;BEMA;BEMA;0;
14;5;;14/05/2019;5;A4;BEMA;BEMA;0;
14;5;;14/05/2019;5;A5;BEMA;BEMA;0;
14;5;;14/05/2019;5;A6;BEMA;BEMA;0;
14;5;;14/05/2019;5;B1;BEMA;BEMA;0;
14;5;;14/05/2019;5;B2;BEMA;BEMA;0;
14;5;;14/05/2019;5;B3;BEMA;BEMA;0;
14;5;;14/05/2019;5;B4;BEMA;BEMA;0;
14;5;;14/05/2019;5;B5;BEMA;BEMA;0;
14;5;;14/05/2019;5;B6;BEMA;BEMA;0;
14;5;;14/05/2019;5;C1;BEMA;BEMA;0;
14;5;;14/05/2019;5;C2;BEMA;BEMA;0;
14;5;;14/05/2019;5;C3;BEMA;BEMA;0;
14;5;;14/05/2019;5;C4;BEMA;BEMA;0;
14;5;;14/05/2019;5;C5;BEMA;BEMA;0;
14;5;;14/05/2019;5;C6;BEMA;BEMA;0;
14;5;;14/05/2019;5;D1;BEMA;BEMA;0;
14;5;;14/05/2019;5;D2;BEMA;BEMA;0;
14;5;;14/05/2019;5;D3;BEMA;BEMA;0;
14;5;;14/05/2019;5;D4;BEMA;BEMA;0;
14;5;;14/05/2019;5;D5;BEMA;BEMA;0;
14;5;;14/05/2019;5;D6;BEMA;BEMA;0;
14;5;;14/05/2019;5;E1;BEMA;BEMA;0;
14;5;;14/05/2019;5;E2;BEMA;BEMA;0;
14;5;;14/05/2019;5;E3;BEMA;BEMA;0;
14;5;;14/05/2019;5;E4;BEMA;BEMA;0;
14;5;;14/05/2019;5;E5;BEMA;BEMA;0;
14;5;;14/05/2019;5;E6;BEMA;BEMA;0;
14;5;;14/05/2019;5;F1;BEMA;BEMA;0;
14;5;;14/05/2019;5;F2;BEMA;BEMA;0;
14;5;;14/05/2019;5;F3;BEMA;BEMA;0;
14;5;;14/05/2019;5;F4;BEMA;BEMA;0;
14;5;;14/05/2019;5;F5;BEMA;BEMA;0;
14;5;;14/05/2019;5;F6;BEMA;BEMA;0;
14;5;;14/05/2019;6;A1;BEMA;BEMA;0;
14;5;;14/05/2019;6;A2;BEMA;BEMA;0;
14;5;;14/05/2019;6;A3;BEMA;BEMA;0;
14;5;;14/05/2019;6;A4;BEMA;BEMA;0;
14;5;;14/05/2019;6;A5;BEMA;BEMA;0;
