group;distance;bee;inter;intra;flower
fitness;6m;0.064;-0.223;-0.088;NA
fitness;3m;0.085;-0.308;-0.114;NA
fitness;1m;0.046;-0.177;0.209;NA
fitness;7.5cm;0.049;-0.246;-0.211;NA
bee;6m;NA;-0.241;NA;0.009
bee;3m;NA;-0.195;NA;0.043
bee;1m;NA;-0.169;NA;0.068
bee;7.5cm;NA;-0.15;NA;0.083
flowers;6m;NA;-0.64;0.295;NA
flowers;3m;NA;-0.427;0.52;NA
flowers;1m;NA;-0.392;0.656;NA
flowers;7.5cm;NA;-0.448;0.086;NA
fitness.indv;6m;0.139;-0.08;-0.235;NA
fitness.indv;3m;0.161;-0.182;-0.134;NA
fitness.indv;1m;0.034;-0.125;0.469;NA
bee.indv;6m;NA;-0.241;NA;0.009
bee.indv;3m;NA;-0.195;NA;0.043
bee.indv;1m;NA;-0.169;NA;0.068
flowers.indv;6m;NA;-0.64;0.295;NA
flowers.indv;3m;NA;-0.427;0.52;NA
flowers.indv;1m;NA;-0.392;0.656;NA
