"Day";"Month";"plot";"subplot";"vis";"Plant";"individuals";"seed";"fruit";"flowers";"x_coor2";"y_coor2";"flowers2";"visits.flower";"seed.indv";"unique_id";"Bee";"Beetle";"Butterfly";"Fly";"<NA>";"distance";"n_neighbors";"n_neighbors_total";"distance_total";"n_neighbors_inter";"n_neighbors_intra"
1;6;1;"B2";10;"LEMA";39;2576;32;8;2;2;8;1,25;82432;"1_B2_LEMA_Beetle";0;10;0;0;0;"a";867;867;"a";867;1869
1;6;1;"B4";12;"LEMA";63;2470;38;7;2;5;7;1,71428571428571;93860;"1_B4_LEMA_Beetle";0;12;0;0;0;"a";867;867;"a";867;1869
1;6;1;"B5";9;"LEMA";43;1248;18;3;2;6,5;3;3;22464;"1_B5_LEMA_Beetle";0;9;0;0;0;"a";867;867;"a";867;1869
1;6;1;"C2";7;"LEMA";32;3848,5;43;8;3,5;2;8;0,875;165485,5;"1_C2_LEMA_Beetle";0;7;0;0;0;"a";867;867;"a";867;1869
1;6;1;"C3";6;"LEMA";51;812;14;11;3,5;3,5;11;0,545454545454545;11368;"1_C3_LEMA_Beetle";0;6;0;0;0;"a";867;867;"a";867;1869
1;6;1;"C4";5;"LEMA";64;236;4;5;3,5;5;5;1;944;"1_C4_LEMA_Beetle";0;5;0;0;0;"a";867;867;"a";867;1869
1;6;1;"C5";1;"LEMA";80;1541;23;11;3,5;6,5;11;0,0909090909090909;35443;"1_C5_LEMA_Beetle";0;1;0;0;0;"a";867;867;"a";867;1869
1;6;1;"D2";9;"LEMA";57;900;12;13;5;2;13;0,692307692307692;10800;"1_D2_LEMA_Beetle";0;9;0;0;0;"a";867;867;"a";867;1869
1;6;1;"D3";5;"LEMA";76;248;4;14;5;3,5;14;0,357142857142857;992;"1_D3_LEMA_Beetle";0;5;0;0;0;"a";867;867;"a";867;1869
1;6;1;"D4";12;"LEMA";45;864,5;13;20;5;5;20;0,6;11238,5;"1_D4_LEMA_Beetle";0;12;0;0;0;"a";867;867;"a";867;1869
1;6;1;"D5";9;"LEMA";62;1235;19;17;5;6,5;17;0,529411764705882;23465;"1_D5_LEMA_Beetle";0;9;0;0;0;"a";867;867;"a";867;1869
1;6;1;"E2";10;"LEMA";57;994,5;13;7;6,5;2;7;1,42857142857143;12928,5;"1_E2_LEMA_Beetle";0;10;0;0;0;"a";867;867;"a";867;1869
1;6;1;"E3";7;"LEMA";46;875,5;17;12;6,5;3,5;12;0,583333333333333;14883,5;"1_E3_LEMA_Beetle";0;7;0;0;0;"a";867;867;"a";867;1869
1;6;1;"E4";5;"LEMA";49;1340;20;14;6,5;5;14;0,357142857142857;26800;"1_E4_LEMA_Beetle";0;5;0;0;0;"a";867;867;"a";867;1869
1;6;1;"E5";3;"LEMA";71;708;12;13;6,5;6,5;13;0,230769230769231;8496;"1_E5_LEMA_Beetle";0;3;0;0;0;"a";867;867;"a";867;1869
1;6;2;"B2";8;"LEMA";74;432;8;20;35;28;20;0,4;3456;"2_B2_LEMA_Beetle";0;8;0;0;0;"a";1545;1545;"a";1545;2831
1;6;2;"B2";1;"CETE";7;1776;16;15;35;28;15;0,0666666666666667;28416;"2_B2_CETE_Fly";0;0;0;1;0;"a";3927;3927;"a";3927;449
1;6;2;"B3";10;"LEMA";65;438;6;17;35;29,5;17;0,588235294117647;2628;"2_B3_LEMA_Beetle";0;10;0;0;0;"a";1545;1545;"a";1545;2831
1;6;2;"B4";15;"LEMA";93;906;18;20;35;31;20;0,75;16308;"2_B4_LEMA_Beetle";0;15;0;0;0;"a";1545;1545;"a";1545;2831
1;6;2;"B5";12;"LEMA";80;189;3;9;35;32,5;9;1,33333333333333;567;"2_B5_LEMA_Beetle";0;12;0;0;0;"a";1545;1545;"a";1545;2831
1;6;2;"C2";4;"LEMA";55;1520;19;13;36,5;28;13;0,307692307692308;28880;"2_C2_LEMA_Beetle";0;4;0;0;0;"a";1545;1545;"a";1545;2831
1;6;2;"C3";5;"LEMA";50;422;4;17;36,5;29,5;17;0,294117647058824;1688;"2_C3_LEMA_Beetle";0;5;0;0;0;"a";1545;1545;"a";1545;2831
1;6;2;"C4";4;"LEMA";114;400;10;18;36,5;31;18;0,222222222222222;4000;"2_C4_LEMA_Beetle";0;4;0;0;0;"a";1545;1545;"a";1545;2831
1;6;2;"C5";6;"LEMA";125;666;6;7;36,5;32,5;7;0,857142857142857;3996;"2_C5_LEMA_Beetle";0;6;0;0;0;"a";1545;1545;"a";1545;2831
1;6;2;"D2";6;"LEMA";53;432;9;0;38;28;0;Inf;3888;"2_D2_LEMA_Beetle";0;6;0;0;0;"a";1545;1545;"a";1545;2831
1;6;2;"D3";4;"LEMA";47;384;12;0;38;29,5;0;Inf;4608;"2_D3_LEMA_Beetle";0;4;0;0;0;"a";1545;1545;"a";1545;2831
1;6;2;"D4";4;"LEMA";53;174;6;0;38;31;0;Inf;1044;"2_D4_LEMA_Beetle";0;4;0;0;0;"a";1545;1545;"a";1545;2831
1;6;2;"D5";4;"LEMA";53;570;10;0;38;32,5;0;Inf;5700;"2_D5_LEMA_Beetle";0;4;0;0;0;"a";1545;1545;"a";1545;2831
1;6;2;"E2";8;"LEMA";61;1540;14;0;39,5;28;0;Inf;21560;"2_E2_LEMA_Beetle";0;8;0;0;0;"a";1545;1545;"a";1545;2831
1;6;2;"E3";6;"LEMA";46;930;6;0;39,5;29,5;0;Inf;5580;"2_E3_LEMA_Beetle";0;6;0;0;0;"a";1545;1545;"a";1545;2831
1;6;2;"E4";8;"LEMA";77;234;13;0;39,5;31;0;Inf;3042;"2_E4_LEMA_Beetle";0;8;0;0;0;"a";1545;1545;"a";1545;2831
1;6;2;"E5";6;"LEMA";41;637;14;0;39,5;32,5;0;Inf;8918;"2_E5_LEMA_Beetle";0;6;0;0;0;"a";1545;1545;"a";1545;2831
1;6;3;"B2";2;"LEMA";8;174;3;6;80;56;6;0,333333333333333;522;"3_B2_LEMA_Beetle";0;2;0;0;0;"a";5887;5887;"a";5887;887
1;6;3;"B3";2;"LEMA";10;735;14;2;80;57,5;2;1;10290;"3_B3_LEMA_Beetle";0;2;0;0;0;"a";5887;5887;"a";5887;887
1;6;3;"B5";2;"LEMA";28;296,666666666667;5;3;80;60,5;3;0,666666666666667;1483,33333333333;"3_B5_LEMA_Beetle";0;2;0;0;0;"a";5887;5887;"a";5887;887
1;6;3;"C2";3;"LEMA";14;106;2;NA;81,5;56;0;Inf;212;"3_C2_LEMA_Beetle";0;3;0;0;0;"a";5887;5887;"a";5887;887
1;6;3;"C3";5;"LEMA";11;630;15;NA;81,5;57,5;0;Inf;9450;"3_C3_LEMA_Beetle";0;5;0;0;0;"a";5887;5887;"a";5887;887
1;6;3;"C4";5;"LEMA";10;40;1;NA;81,5;59;0;Inf;40;"3_C4_LEMA_Beetle";0;5;0;0;0;"a";5887;5887;"a";5887;887
1;6;3;"C5";1;"LEMA";39;580;10;NA;81,5;60,5;0;Inf;5800;"3_C5_LEMA_Beetle";0;1;0;0;0;"a";5887;5887;"a";5887;887
1;6;3;"D2";3;"LEMA";8;1044;18;6;83;56;6;0,5;18792;"3_D2_LEMA_Beetle";0;3;0;0;0;"a";5887;5887;"a";5887;887
1;6;3;"D3";4;"LEMA";10;377;6,5;3;83;57,5;3;1,33333333333333;2450,5;"3_D3_LEMA_Beetle";0;4;0;0;0;"a";5887;5887;"a";5887;887
1;6;3;"D5";2;"LEMA";36;140;4;13;83;60,5;13;0,153846153846154;560;"3_D5_LEMA_Beetle";0;2;0;0;0;"a";5887;5887;"a";5887;887
1;6;3;"D5";2;"LEMA";36;140;4;13;83;60,5;13;0,153846153846154;560;"3_D5_LEMA_Fly";0;0;0;2;0;"a";5887;5887;"a";5887;887
1;6;3;"E2";4;"LEMA";9;116;2;14;84,5;56;14;0,285714285714286;232;"3_E2_LEMA_Beetle";0;4;0;0;0;"a";5887;5887;"a";5887;887
1;6;3;"E3";2;"LEMA";26;736;16;23;84,5;57,5;23;0,0869565217391304;11776;"3_E3_LEMA_Beetle";0;2;0;0;0;"a";5887;5887;"a";5887;887
