"Day";"Month";"plot";"subplot";"Group";"vis";"Plant";"individuals";"seed";"fruit";"visits";"flowers";"x_coor2";"y_coor2";"neigh_inter.plot";"neigh_intra.plot";"neigh_intra.3m";"neigh_inter.3m";"neigh_inter.1m";"neigh_intra.1m";"neigh_inter.7.5";"neigh_intra.7.5";"flowers2";"visits.flower";"seed.indv";"unique_id"
1;6;1;"B2";"Beetle";10;"LEMA";39;2576;32;10;8;2;2;867;1869;379;234;18;39;0;2;8;1,25;82432;"1_B2_LEMA_Beetle"
1;6;1;"B4";"Beetle";12;"LEMA";63;2470;38;12;7;2;5;867;1869;378;126;20;63;0;3;7;1,71428571428571;93860;"1_B4_LEMA_Beetle"
1;6;1;"B5";"Beetle";9;"LEMA";43;1248;18;9;3;2;6,5;867;1869;393;130;8;43;0;3;3;3;22464;"1_B5_LEMA_Beetle"
1;6;1;"C2";"Beetle";7;"LEMA";32;3848,5;43;7;8;3,5;2;867;1869;465;108;40;32;0;0;8;0,875;165485,5;"1_C2_LEMA_Beetle"
1;6;1;"C3";"Beetle";6;"LEMA";51;812;14;6;11;3,5;3,5;867;1869;431;132;12;51;0;3;11;0,545454545454545;11368;"1_C3_LEMA_Beetle"
1;6;1;"C4";"Beetle";5;"LEMA";64;236;4;5;5;3,5;5;867;1869;475;101;10;64;0;3;5;1;944;"1_C4_LEMA_Beetle"
1;6;1;"C5";"Beetle";1;"LEMA";80;1541;23;1;11;3,5;6,5;867;1869;441;104;15;80;1;2;11;0,0909090909090909;35443;"1_C5_LEMA_Beetle"
1;6;1;"D2";"Beetle";9;"LEMA";57;900;12;9;13;5;2;867;1869;466;143;15;57;0;0;13;0,692307692307692;10800;"1_D2_LEMA_Beetle"
1;6;1;"D3";"Beetle";5;"LEMA";76;248;4;5;14;5;3,5;867;1869;401;134;12;76;0;3;14;0,357142857142857;992;"1_D3_LEMA_Beetle"
1;6;1;"D4";"Beetle";12;"LEMA";45;864,5;13;12;20;5;5;867;1869;499;127;5;45;1;2;20;0,6;11238,5;"1_D4_LEMA_Beetle"
1;6;1;"D5";"Beetle";9;"LEMA";62;1235;19;9;17;5;6,5;867;1869;496;145;17;62;1;3;17;0,529411764705882;23465;"1_D5_LEMA_Beetle"
1;6;1;"E2";"Beetle";10;"LEMA";57;994,5;13;10;7;6,5;2;867;1869;420;265;13;57;1;2;7;1,42857142857143;12928,5;"1_E2_LEMA_Beetle"
1;6;1;"E3";"Beetle";7;"LEMA";46;875,5;17;7;12;6,5;3,5;867;1869;431;186;16;46;2;2;12;0,583333333333333;14883,5;"1_E3_LEMA_Beetle"
1;6;1;"E4";"Beetle";5;"LEMA";49;1340;20;5;14;6,5;5;867;1869;465;157;23;49;5;0;14;0,357142857142857;26800;"1_E4_LEMA_Beetle"
1;6;1;"E5";"Beetle";3;"LEMA";71;708;12;3;13;6,5;6,5;867;1869;467;177;22;71;1;3;13;0,230769230769231;8496;"1_E5_LEMA_Beetle"
1;6;2;"B2";"Beetle";8;"LEMA";74;432;8;8;20;35;28;1545;2831;529;372;25;74;0;6;20;0,4;3456;"2_B2_LEMA_Beetle"
1;6;2;"B2";"Fly";1;"CETE";7;1776;16;1;15;35;28;3927;449;93;808;92;7;3;4;15;0,0666666666666667;28416;"2_B2_CETE_Fly"
1;6;2;"B3";"Beetle";10;"LEMA";65;438;6;10;17;35;29,5;1545;2831;647;335;41;65;6;0;17;0,588235294117647;2628;"2_B3_LEMA_Beetle"
1;6;2;"B4";"Beetle";15;"LEMA";93;906;18;15;20;35;31;1545;2831;709;344;30;93;8;1;20;0,75;16308;"2_B4_LEMA_Beetle"
1;6;2;"B5";"Beetle";12;"LEMA";80;189;3;12;9;35;32,5;1545;2831;794;372;46;80;0;2;9;1,33333333333333;567;"2_B5_LEMA_Beetle"
1;6;2;"C2";"Beetle";4;"LEMA";55;1520;19;4;13;36,5;28;1545;2831;527;292;61;55;7;1;13;0,307692307692308;28880;"2_C2_LEMA_Beetle"
1;6;2;"C3";"Beetle";5;"LEMA";50;422;4;5;17;36,5;29,5;1545;2831;554;311;30;50;0;2;17;0,294117647058824;1688;"2_C3_LEMA_Beetle"
1;6;2;"C4";"Beetle";4;"LEMA";114;400;10;4;18;36,5;31;1545;2831;566;284;46;114;10;1;18;0,222222222222222;4000;"2_C4_LEMA_Beetle"
1;6;2;"C5";"Beetle";6;"LEMA";125;666;6;6;7;36,5;32,5;1545;2831;643;419;37;125;1;2;7;0,857142857142857;3996;"2_C5_LEMA_Beetle"
1;6;2;"D2";"Beetle";6;"LEMA";53;432;9;6;0;38;28;1545;2831;501;298;56;53;1;2;0;Inf;3888;"2_D2_LEMA_Beetle"
1;6;2;"D3";"Beetle";4;"LEMA";47;384;12;4;0;38;29,5;1545;2831;509;303;30;47;0;5;0;Inf;4608;"2_D3_LEMA_Beetle"
1;6;2;"D4";"Beetle";4;"LEMA";53;174;6;4;0;38;31;1545;2831;553;293;22;53;3;5;0;Inf;1044;"2_D4_LEMA_Beetle"
1;6;2;"D5";"Beetle";4;"LEMA";53;570;10;4;0;38;32,5;1545;2831;668;441;48;53;4;4;0;Inf;5700;"2_D5_LEMA_Beetle"
1;6;2;"E2";"Beetle";8;"LEMA";61;1540;14;8;0;39,5;28;1545;2831;542;247;18;61;1;0;0;Inf;21560;"2_E2_LEMA_Beetle"
1;6;2;"E3";"Beetle";6;"LEMA";46;930;6;6;0;39,5;29,5;1545;2831;494;218;37;46;1;1;0;Inf;5580;"2_E3_LEMA_Beetle"
1;6;2;"E4";"Beetle";8;"LEMA";77;234;13;8;0;39,5;31;1545;2831;545;275;33;77;11;0;0;Inf;3042;"2_E4_LEMA_Beetle"
1;6;2;"E5";"Beetle";6;"LEMA";41;637;14;6;0;39,5;32,5;1545;2831;710;433;32;41;8;0;0;Inf;8918;"2_E5_LEMA_Beetle"
1;6;3;"B2";"Beetle";2;"LEMA";8;174;3;2;6;80;56;5887;887;82;1481;195;8;9;1;6;0,333333333333333;522;"3_B2_LEMA_Beetle"
1;6;3;"B3";"Beetle";2;"LEMA";10;735;14;2;2;80;57,5;5887;887;122;1452;148;10;3;0;2;1;10290;"3_B3_LEMA_Beetle"
1;6;3;"B5";"Beetle";2;"LEMA";28;296,666666666667;5;2;3;80;60,5;5887;887;206;1257;221;28;9;0;3;0,666666666666667;1483,33333333333;"3_B5_LEMA_Beetle"
1;6;3;"C2";"Beetle";3;"LEMA";14;106;2;3;NA;81,5;56;5887;887;67;1473;145;14;5;1;0;Inf;212;"3_C2_LEMA_Beetle"
1;6;3;"C3";"Beetle";5;"LEMA";11;630;15;5;NA;81,5;57,5;5887;887;102;1530;107;11;3;0;0;Inf;9450;"3_C3_LEMA_Beetle"
1;6;3;"C4";"Beetle";5;"LEMA";10;40;1;5;NA;81,5;59;5887;887;176;1280;232;10;8;0;0;Inf;40;"3_C4_LEMA_Beetle"
1;6;3;"C5";"Beetle";1;"LEMA";39;580;10;1;NA;81,5;60,5;5887;887;235;1408;99;39;4;1;0;Inf;5800;"3_C5_LEMA_Beetle"
1;6;3;"D2";"Beetle";3;"LEMA";8;1044;18;3;6;83;56;5887;887;90;1429;201;8;1;0;6;0,5;18792;"3_D2_LEMA_Beetle"
1;6;3;"D3";"Beetle";4;"LEMA";10;377;6,5;4;3;83;57,5;5887;887;139;1418;225;10;7;0;3;1,33333333333333;2450,5;"3_D3_LEMA_Beetle"
1;6;3;"D5";"Beetle";2;"LEMA";36;140;4;2;13;83;60,5;5887;887;293;1273;96;36;4;2;13;0,153846153846154;560;"3_D5_LEMA_Beetle"
1;6;3;"D5";"Fly";2;"LEMA";36;140;4;2;13;83;60,5;5887;887;293;1273;96;36;4;2;13;0,153846153846154;560;"3_D5_LEMA_Fly"
1;6;3;"E2";"Beetle";4;"LEMA";9;116;2;4;14;84,5;56;5887;887;118;1427;217;9;1;0;14;0,285714285714286;232;"3_E2_LEMA_Beetle"
1;6;3;"E3";"Beetle";2;"LEMA";26;736;16;2;23;84,5;57,5;5887;887;196;1379;155;26;0;1;23;0,0869565217391304;11776;"3_E3_LEMA_Beetle"
1;6;3;"E4";"Beetle";3;"LEMA";37;522;9;3;15;84,5;59;5887;887;314;1113;152;37;4;2;15;0,2;4698;"3_E4_LEMA_Beetle"
1;6;3;"E5";"Beetle";2;"LEMA";53;405;6;2;5;84,5;60,5;5887;887;383;956;133;53;11;1;5;0,4;2430;"3_E5_LEMA_Beetle"
1;6;5;"B4";"Beetle";1;"LEMA";12;116;2;1;15;124;157;2657;294;46;592;45;12;7;0;15;0,0666666666666667;232;"5_B4_LEMA_Beetle"
1;6;5;"B5";"Beetle";3;"LEMA";3;58;1;3;2;124;158,5;2657;294;50;620;69;3;5;0;2;1,5;58;"5_B5_LEMA_Beetle"
