plot;cell;position;x_coor;y_coor
;;;;
1;1;A1;0.5;0.5
;;;;
1;2;A2;0.5;2
;;;;
1;3;A3;0.5;3.5
;;;;
1;4;A4;0.5;5
;;;;
1;5;A5;0.5;6.5
;;;;
1;6;A6;0.5;8
;;;;
1;7;B1;2;0.5
;;;;
1;8;B2;2;2
;;;;
1;9;B3;2;3.5
;;;;
1;10;B4;2;5
;;;;
1;11;B5;2;6.5
;;;;
1;12;B6;2;8
;;;;
1;13;C1;3.5;0.5
;;;;
1;14;C2;3.5;2
;;;;
1;15;C3;3.5;3.5
;;;;
1;16;C4;3.5;5
;;;;
1;17;C5;3.5;6.5
;;;;
1;18;C6;3.5;8
;;;;
1;19;D1;5;0.5
;;;;
1;20;D2;5;2
;;;;
1;21;D3;5;3.5
;;;;
1;22;D4;5;5
;;;;
1;23;D5;5;6.5
;;;;
1;24;D6;5;8
;;;;
1;25;E1;6.5;0.5
;;;;
1;26;E2;6.5;2
;;;;
1;27;E3;6.5;3.5
;;;;
1;28;E4;6.5;5
;;;;
1;29;E5;6.5;6.5
;;;;
1;30;E6;6.5;8
;;;;
1;31;F1;8;0.5
;;;;
1;32;F2;8;2
;;;;
1;33;F3;8;3.5
;;;;
1;34;F4;8;5
;;;;
1;35;F5;8;6.5
;;;;
1;36;F6;8;8
