Plot;Subplot;x_coor2;y_coor2;plot;subplot
1;A1;0.5;0.5;1;A1
1;A2;0.5;2;1;A2
1;A3;0.5;3.5;1;A3
1;A4;0.5;5;1;A4
1;A5;0.5;6.5;1;A5
1;A6;0.5;8;1;A6
1;B1;2;0.5;1;B1
1;B2;2;2;1;B2
1;B3;2;3.5;1;B3
1;B4;2;5;1;B4
1;B5;2;6.5;1;B5
1;B6;2;8;1;B6
1;C1;3.5;0.5;1;C1
1;C2;3.5;2;1;C2
1;C3;3.5;3.5;1;C3
1;C4;3.5;5;1;C4
1;C5;3.5;6.5;1;C5
1;C6;3.5;8;1;C6
1;D1;5;0.5;1;D1
1;D2;5;2;1;D2
1;D3;5;3.5;1;D3
1;D4;5;5;1;D4
1;D5;5;6.5;1;D5
1;D6;5;8;1;D6
1;E1;6.5;0.5;1;E1
1;E2;6.5;2;1;E2
1;E3;6.5;3.5;1;E3
1;E4;6.5;5;1;E4
1;E5;6.5;6.5;1;E5
1;E6;6.5;8;1;E6
1;F1;8;0.5;1;F1
1;F2;8;2;1;F2
1;F3;8;3.5;1;F3
1;F4;8;5;1;F4
1;F5;8;6.5;1;F5
1;F6;8;8;1;F6
2;A1;33.5;26.5;2;A1
2;A2;33.5;28;2;A2
2;A3;33.5;29.5;2;A3
2;A4;33.5;31;2;A4
2;A5;33.5;32.5;2;A5
2;A6;33.5;34;2;A6
2;B1;35;26.5;2;B1
2;B2;35;28;2;B2
2;B3;35;29.5;2;B3
2;B4;35;31;2;B4
2;B5;35;32.5;2;B5
2;B6;35;34;2;B6
2;C1;36.5;26.5;2;C1
2;C2;36.5;28;2;C2
2;C3;36.5;29.5;2;C3
2;C4;36.5;31;2;C4
2;C5;36.5;32.5;2;C5
2;C6;36.5;34;2;C6
2;D1;38;26.5;2;D1
2;D2;38;28;2;D2
2;D3;38;29.5;2;D3
2;D4;38;31;2;D4
2;D5;38;32.5;2;D5
2;D6;38;34;2;D6
2;E1;39.5;26.5;2;E1
2;E2;39.5;28;2;E2
2;E3;39.5;29.5;2;E3
2;E4;39.5;31;2;E4
2;E5;39.5;32.5;2;E5
2;E6;39.5;34;2;E6
2;F1;41;26.5;2;F1
2;F2;41;28;2;F2
2;F3;41;29.5;2;F3
2;F4;41;31;2;F4
2;F5;41;32.5;2;F5
2;F6;41;34;2;F6
3;A1;78.5;54.5;3;A1
3;A2;78.5;56;3;A2
3;A3;78.5;57.5;3;A3
3;A4;78.5;59;3;A4
3;A5;78.5;60.5;3;A5
3;A6;78.5;62;3;A6
3;B1;80;54.5;3;B1
3;B2;80;56;3;B2
3;B3;80;57.5;3;B3
3;B4;80;59;3;B4
3;B5;80;60.5;3;B5
3;B6;80;62;3;B6
3;C1;81.5;54.5;3;C1
3;C2;81.5;56;3;C2
3;C3;81.5;57.5;3;C3
3;C4;81.5;59;3;C4
3;C5;81.5;60.5;3;C5
3;C6;81.5;62;3;C6
3;D1;83;54.5;3;D1
3;D2;83;56;3;D2
3;D3;83;57.5;3;D3
3;D4;83;59;3;D4
3;D5;83;60.5;3;D5
3;D6;83;62;3;D6
3;E1;84.5;54.5;3;E1
3;E2;84.5;56;3;E2
3;E3;84.5;57.5;3;E3
3;E4;84.5;59;3;E4
3;E5;84.5;60.5;3;E5
3;E6;84.5;62;3;E6
3;F1;86;54.5;3;F1
3;F2;86;56;3;F2
3;F3;86;57.5;3;F3
3;F4;86;59;3;F4
3;F5;86;60.5;3;F5
3;F6;86;62;3;F6
5;A1;122.5;152.5;5;A1
5;A2;122.5;154;5;A2
5;A3;122.5;155.5;5;A3
5;A4;122.5;157;5;A4
5;A5;122.5;158.5;5;A5
5;A6;122.5;160;5;A6
5;B1;124;152.5;5;B1
5;B2;124;154;5;B2
5;B3;124;155.5;5;B3
5;B4;124;157;5;B4
5;B5;124;158.5;5;B5
5;B6;124;160;5;B6
5;C1;125.5;152.5;5;C1
5;C2;125.5;154;5;C2
5;C3;125.5;155.5;5;C3
5;C4;125.5;157;5;C4
5;C5;125.5;158.5;5;C5
5;C6;125.5;160;5;C6
5;D1;127;152.5;5;D1
5;D2;127;154;5;D2
5;D3;127;155.5;5;D3
5;D4;127;157;5;D4
5;D5;127;158.5;5;D5
5;D6;127;160;5;D6
5;E1;128.5;152.5;5;E1
5;E2;128.5;154;5;E2
5;E3;128.5;155.5;5;E3
5;E4;128.5;157;5;E4
5;E5;128.5;158.5;5;E5
5;E6;128.5;160;5;E6
5;F1;130;152.5;5;F1
5;F2;130;154;5;F2
5;F3;130;155.5;5;F3
5;F4;130;157;5;F4
5;F5;130;158.5;5;F5
5;F6;130;160;5;F6
6;A1;142.5;154.5;6;A1
6;A2;142.5;156;6;A2
6;A3;142.5;157.5;6;A3
6;A4;142.5;159;6;A4
6;A5;142.5;160.5;6;A5
6;A6;142.5;162;6;A6
6;B1;144;154.5;6;B1
6;B2;144;156;6;B2
6;B3;144;157.5;6;B3
6;B4;144;159;6;B4
6;B5;144;160.5;6;B5
6;B6;144;162;6;B6
6;C1;145.5;154.5;6;C1
6;C2;145.5;156;6;C2
6;C3;145.5;157.5;6;C3
6;C4;145.5;159;6;C4
6;C5;145.5;160.5;6;C5
6;C6;145.5;162;6;C6
6;D1;147;154.5;6;D1
6;D2;147;156;6;D2
6;D3;147;157.5;6;D3
6;D4;147;159;6;D4
6;D5;147;160.5;6;D5
6;D6;147;162;6;D6
6;E1;148.5;154.5;6;E1
6;E2;148.5;156;6;E2
6;E3;148.5;157.5;6;E3
6;E4;148.5;159;6;E4
6;E5;148.5;160.5;6;E5
6;E6;148.5;162;6;E6
6;F1;150;154.5;6;F1
6;F2;150;156;6;F2
6;F3;150;157.5;6;F3
6;F4;150;159;6;F4
6;F5;150;160.5;6;F5
6;F6;150;162;6;F6
7;A1;233.5;287.5;7;A1
7;A2;233.5;289;7;A2
7;A3;233.5;290.5;7;A3
7;A4;233.5;292;7;A4
7;A5;233.5;293.5;7;A5
7;A6;233.5;295;7;A6
7;B1;235;287.5;7;B1
7;B2;235;289;7;B2
7;B3;235;290.5;7;B3
7;B4;235;292;7;B4
7;B5;235;293.5;7;B5
7;B6;235;295;7;B6
7;C1;236.5;287.5;7;C1
7;C2;236.5;289;7;C2
7;C3;236.5;290.5;7;C3
7;C4;236.5;292;7;C4
7;C5;236.5;293.5;7;C5
7;C6;236.5;295;7;C6
7;D1;238;287.5;7;D1
7;D2;238;289;7;D2
7;D3;238;290.5;7;D3
7;D4;238;292;7;D4
7;D5;238;293.5;7;D5
7;D6;238;295;7;D6
7;E1;239.5;287.5;7;E1
7;E2;239.5;289;7;E2
7;E3;239.5;290.5;7;E3
7;E4;239.5;292;7;E4
7;E5;239.5;293.5;7;E5
7;E6;239.5;295;7;E6
7;F1;241;287.5;7;F1
7;F2;241;289;7;F2
7;F3;241;290.5;7;F3
7;F4;241;292;7;F4
7;F5;241;293.5;7;F5
7;F6;241;295;7;F6
8;A1;272.5;268.5;8;A1
8;A2;272.5;270;8;A2
8;A3;272.5;271.5;8;A3
8;A4;272.5;273;8;A4
8;A5;272.5;274.5;8;A5
8;A6;272.5;276;8;A6
8;B1;274;268.5;8;B1
8;B2;274;270;8;B2
8;B3;274;271.5;8;B3
8;B4;274;273;8;B4
8;B5;274;274.5;8;B5
8;B6;274;276;8;B6
8;C1;275.5;268.5;8;C1
8;C2;275.5;270;8;C2
8;C3;275.5;271.5;8;C3
8;C4;275.5;273;8;C4
8;C5;275.5;274.5;8;C5
8;C6;275.5;276;8;C6
8;D1;277;268.5;8;D1
8;D2;277;270;8;D2
8;D3;277;271.5;8;D3
8;D4;277;273;8;D4
8;D5;277;274.5;8;D5
8;D6;277;276;8;D6
8;E1;278.5;268.5;8;E1
8;E2;278.5;270;8;E2
8;E3;278.5;271.5;8;E3
8;E4;278.5;273;8;E4
8;E5;278.5;274.5;8;E5
8;E6;278.5;276;8;E6
8;F1;280;268.5;8;F1
8;F2;280;270;8;F2
8;F3;280;271.5;8;F3
8;F4;280;273;8;F4
8;F5;280;274.5;8;F5
8;F6;280;276;8;F6
9;A1;312.5;284.5;9;A1
9;A2;312.5;286;9;A2
9;A3;312.5;287.5;9;A3
9;A4;312.5;289;9;A4
9;A5;312.5;290.5;9;A5
9;A6;312.5;292;9;A6
9;B1;314;284.5;9;B1
9;B2;314;286;9;B2
9;B3;314;287.5;9;B3
9;B4;314;289;9;B4
9;B5;314;290.5;9;B5
9;B6;314;292;9;B6
9;C1;315.5;284.5;9;C1
9;C2;315.5;286;9;C2
9;C3;315.5;287.5;9;C3
9;C4;315.5;289;9;C4
9;C5;315.5;290.5;9;C5
9;C6;315.5;292;9;C6
9;D1;317;284.5;9;D1
9;D2;317;286;9;D2
9;D3;317;287.5;9;D3
9;D4;317;289;9;D4
9;D5;317;290.5;9;D5
9;D6;317;292;9;D6
9;E1;318.5;284.5;9;E1
9;E2;318.5;286;9;E2
9;E3;318.5;287.5;9;E3
9;E4;318.5;289;9;E4
9;E5;318.5;290.5;9;E5
9;E6;318.5;292;9;E6
9;F1;320;284.5;9;F1
9;F2;320;286;9;F2
9;F3;320;287.5;9;F3
9;F4;320;289;9;F4
9;F5;320;290.5;9;F5
9;F6;320;292;9;F6
