"year";"plot";"subplot";"focal";"distance";"neigh_intra";"neigh_inter";"edge"
2020;1;"A1";"LEMA";"d1";1;3;TRUE
2020;1;"A1";"BEMA";"d1";0;4;TRUE
2020;1;"A1";"HOMA";"d1";5;1;TRUE
2020;1;"A1";"SOAS";"d1";0;5;TRUE
2020;1;"A2";"LEMA";"d1";1;1;TRUE
2020;1;"A2";"HOMA";"d1";5;3;TRUE
2020;1;"A2";"BEMA";"d1";2;0;TRUE
2020;1;"A2";"SOAS";"d1";0;3;TRUE
2020;1;"A3";"SOAS";"d1";0;1;TRUE
2020;1;"A3";"LEMA";"d1";3;1;TRUE
2020;1;"A3";"HOMA";"d1";2;3;TRUE
2020;1;"A3";"BEMA";"d1";2;0;TRUE
2020;1;"A3";"CHFU";"d1";0;3;TRUE
2020;1;"A4";"BEMA";"d1";0;1;TRUE
2020;1;"A4";"LEMA";"d1";7;0;TRUE
2020;1;"A4";"SOAS";"d1";0;3;TRUE
2020;1;"A5";"CHFU";"d1";0;0;TRUE
2020;1;"A5";"CHFU";"d1";0;4;TRUE
2020;1;"A5";"LEMA";"d1";1;3;TRUE
2020;1;"A5";"CHFU";"d1";0;0;TRUE
2020;1;"A5";"CHFU";"d1";0;4;TRUE
2020;1;"A5";"BEMA";"d1";0;4;TRUE
2020;1;"A5";"SOAS";"d1";1;3;TRUE
2020;1;"A6";"SOAS";"d1";0;2;TRUE
2020;1;"A6";"BEMA";"d1";0;3;TRUE
2020;1;"A6";"CHFU";"d1";0;2;TRUE
2020;1;"A6";"LEMA";"d1";2;1;TRUE
2020;1;"B1";"LEMA";"d1";2;0;TRUE
2020;1;"B1";"BEMA";"d1";0;2;TRUE
2020;1;"B1";"CHFU";"d1";0;1;TRUE
2020;1;"B1";"HOMA";"d1";0;3;TRUE
2020;1;"B1";"HOMA";"d1";0;3;TRUE
2020;1;"B1";"HOMA";"d1";0;3;TRUE
2020;1;"B1";"HOMA";"d1";0;3;TRUE
2020;1;"B2";"SOAS";"d1";0;1;FALSE
2020;1;"B2";"BEMA";"d1";0;4;FALSE
2020;1;"B2";"HOMA";"d1";0;4;FALSE
2020;1;"B2";"HOMA";"d1";0;1;FALSE
2020;1;"B2";"LEMA";"d1";2;0;FALSE
2020;1;"B2";"HOMA";"d1";5;4;FALSE
2020;1;"B2";"HOMA";"d1";5;1;FALSE
2020;1;"B3";"CHFU";"d1";0;2;FALSE
2020;1;"B3";"CHFU";"d1";0;5;FALSE
2020;1;"B3";"CHFU";"d1";0;2;FALSE
2020;1;"B3";"CHFU";"d1";0;5;FALSE
2020;1;"B3";"BEMA";"d1";0;0;FALSE
2020;1;"B3";"SOAS";"d1";0;1;FALSE
2020;1;"B4";"LEMA";"d1";3;0;FALSE
2020;1;"B4";"LEMA";"d1";3;0;FALSE
2020;1;"B4";"CHFU";"d1";0;4;FALSE
2020;1;"B4";"CHFU";"d1";0;4;FALSE
2020;1;"B4";"LEMA";"d1";3;0;FALSE
2020;1;"B4";"LEMA";"d1";3;0;FALSE
2020;1;"B4";"CHFU";"d1";0;4;FALSE
2020;1;"B4";"CHFU";"d1";0;4;FALSE
2020;1;"B4";"SOAS";"d1";0;0;FALSE
2020;1;"B5";"BEMA";"d1";2;0;FALSE
2020;1;"B5";"LEMA";"d1";3;0;FALSE
2020;1;"B6";"SCLA";"d1";0;3;TRUE
2020;1;"B6";"SOAS";"d1";0;3;TRUE
2020;1;"B6";"LEMA";"d1";2;1;TRUE
2020;1;"B6";"HOMA";"d1";1;1;TRUE
2020;1;"B6";"BEMA";"d1";0;4;TRUE
2020;1;"C1";"CHFU";"d1";0;4;TRUE
2020;1;"C1";"CHMI";"d1";0;2;TRUE
2020;1;"C1";"CHMI";"d1";0;3;TRUE
2020;1;"C1";"CHMI";"d1";0;2;TRUE
2020;1;"C1";"CHMI";"d1";0;3;TRUE
2020;1;"C1";"LEMA";"d1";1;1;TRUE
2020;1;"C1";"BEMA";"d1";1;3;TRUE
2020;1;"C2";"BEMA";"d1";0;3;FALSE
2020;1;"C2";"HOMA";"d1";0;2;FALSE
2020;1;"C2";"HOMA";"d1";0;0;FALSE
2020;1;"C2";"HOMA";"d1";3;2;FALSE
2020;1;"C2";"HOMA";"d1";3;0;FALSE
2020;1;"C2";"LEMA";"d1";0;0;FALSE
2020;1;"C2";"SOAS";"d1";0;1;FALSE
2020;1;"C2";"CHFU";"d1";0;5;FALSE
2020;1;"C3";"CHFU";"d1";0;0;FALSE
2020;1;"C3";"BEMA";"d1";1;0;FALSE
2020;1;"C3";"HOMA";"d1";0;3;FALSE
2020;1;"C3";"LEMA";"d1";3;0;FALSE
2020;1;"C4";"LEMA";"d1";3;0;FALSE
2020;1;"C4";"BEMA";"d1";0;0;FALSE
2020;1;"C5";"BEMA";"d1";0;6;FALSE
2020;1;"C5";"LEMA";"d1";2;1;FALSE
2020;1;"C5";"CHFU";"d1";0;3;FALSE
2020;1;"C6";"LEMA";"d1";2;1;TRUE
2020;1;"C6";"BEMA";"d1";0;1;TRUE
2020;1;"D1";"HOMA";"d1";0;2;TRUE
2020;1;"D1";"LEMA";"d1";2;1;TRUE
2020;1;"D1";"CHFU";"d1";0;6;TRUE
2020;1;"D2";"LEMA";"d1";0;0;FALSE
2020;1;"D2";"BEMA";"d1";0;3;FALSE
2020;1;"D2";"SCLA";"d1";0;3;FALSE
2020;1;"D3";"CHFU";"d1";0;1;FALSE
2020;1;"D3";"CHFU";"d1";0;0;FALSE
2020;1;"D3";"BEMA";"d1";0;4;FALSE
2020;1;"D3";"SCLA";"d1";0;6;FALSE
2020;1;"D3";"CHFU";"d1";0;1;FALSE
2020;1;"D3";"CHFU";"d1";0;0;FALSE
2020;1;"D3";"LEMA";"d1";3;0;FALSE
2020;1;"D4";"LEMA";"d1";2;1;FALSE
2020;1;"D4";"BEMA";"d1";0;1;FALSE
2020;1;"D4";"SOAS";"d1";0;3;FALSE
2020;1;"D4";"SCLA";"d1";0;2;FALSE
2020;1;"D5";"CHFU";"d1";0;5;FALSE
2020;1;"D5";"BEMA";"d1";0;3;FALSE
2020;1;"D5";"HOMA";"d1";0;3;FALSE
2020;1;"D5";"LEMA";"d1";3;1;FALSE
2020;1;"D6";"BEMA";"d1";0;7;TRUE
2020;1;"D6";"LEMA";"d1";1;0;TRUE
2020;1;"D6";"HOMA";"d1";0;2;TRUE
2020;1;"D6";"HOMA";"d1";0;0;TRUE
2020;1;"D6";"HOMA";"d1";3;2;TRUE
2020;1;"D6";"HOMA";"d1";3;0;TRUE
2020;1;"E1";"HOMA";"d1";1;2;TRUE
2020;1;"E1";"HOMA";"d1";1;2;TRUE
2020;1;"E1";"BEMA";"d1";0;2;TRUE
2020;1;"E1";"LEMA";"d1";2;1;TRUE
2020;1;"E1";"SCLA";"d1";0;2;TRUE
2020;1;"E1";"SCLA";"d1";0;1;TRUE
2020;1;"E1";"SCLA";"d1";0;2;TRUE
2020;1;"E1";"SCLA";"d1";0;1;TRUE
2020;1;"E1";"HOMA";"d1";0;2;TRUE
2020;1;"E1";"HOMA";"d1";0;2;TRUE
2020;1;"E1";"SOAS";"d1";0;2;TRUE
2020;1;"E2";"LEMA";"d1";2;1;FALSE
2020;1;"E2";"BEMA";"d1";0;2;FALSE
2020;1;"E3";"BEMA";"d1";0;4;FALSE
2020;1;"E3";"CHFU";"d1";0;4;FALSE
2020;1;"E3";"LEMA";"d1";2;2;FALSE
2020;1;"E4";"LEMA";"d1";0;5;FALSE
2020;1;"E4";"HOMA";"d1";0;5;FALSE
2020;1;"E4";"HOMA";"d1";0;1;FALSE
2020;1;"E4";"HOMA";"d1";1;5;FALSE
2020;1;"E4";"HOMA";"d1";1;1;FALSE
2020;1;"E4";"BEMA";"d1";2;2;FALSE
2020;1;"E5";"LEMA";"d1";3;1;FALSE
2020;1;"E5";"BEMA";"d1";2;1;FALSE
2020;1;"E6";"HOMA";"d1";0;4;TRUE
2020;1;"E6";"HOMA";"d1";0;0;TRUE
2020;1;"E6";"HOMA";"d1";0;0;TRUE
2020;1;"E6";"HOMA";"d1";5;4;TRUE
2020;1;"E6";"HOMA";"d1";5;0;TRUE
2020;1;"E6";"HOMA";"d1";5;0;TRUE
2020;1;"E6";"HOMA";"d1";0;4;TRUE
2020;1;"E6";"HOMA";"d1";0;0;TRUE
2020;1;"E6";"HOMA";"d1";0;0;TRUE
2020;1;"E6";"BEMA";"d1";2;3;TRUE
2020;1;"F1";"SOAS";"d1";0;1;TRUE
2020;1;"F1";"BEMA";"d1";0;4;TRUE
2020;1;"F1";"HOMA";"d1";0;3;TRUE
2020;1;"F1";"HOMA";"d1";0;0;TRUE
2020;1;"F1";"HOMA";"d1";12;3;TRUE
2020;1;"F1";"HOMA";"d1";12;0;TRUE
2020;1;"F1";"LEMA";"d1";1;2;TRUE
2020;1;"F2";"LEMA";"d1";3;5;TRUE
2020;1;"F2";"HOMA";"d1";5;0;TRUE
2020;1;"F2";"HOMA";"d1";5;3;TRUE
2020;1;"F2";"HOMA";"d1";2;0;TRUE
2020;1;"F2";"HOMA";"d1";2;3;TRUE
2020;1;"F2";"BEMA";"d1";2;3;TRUE
2020;1;"F3";"HOMA";"d1";5;0;TRUE
2020;1;"F3";"LEMA";"d1";3;6;TRUE
2020;1;"F3";"CHFU";"d1";0;0;TRUE
2020;1;"F3";"CHFU";"d1";0;2;TRUE
2020;1;"F3";"CHFU";"d1";1;0;TRUE
2020;1;"F3";"CHFU";"d1";1;2;TRUE
2020;1;"F3";"BEMA";"d1";0;2;TRUE
2020;1;"F4";"HOMA";"d1";0;3;TRUE
2020;1;"F4";"LEMA";"d1";1;4;TRUE
2020;1;"F4";"BEMA";"d1";0;5;TRUE
2020;1;"F4";"CHFU";"d1";0;2;TRUE
2020;1;"F4";"CHFU";"d1";0;7;TRUE
2020;1;"F4";"CHFU";"d1";0;2;TRUE
2020;1;"F4";"CHFU";"d1";0;7;TRUE
2020;1;"F5";"CHFU";"d1";0;3;TRUE
2020;1;"F5";"HOMA";"d1";0;3;TRUE
2020;1;"F5";"LEMA";"d1";4;0;TRUE
2020;1;"F5";"BEMA";"d1";1;2;TRUE
2020;1;"F6";"SCLA";"d1";0;4;TRUE
2020;1;"F6";"HOMA";"d1";0;4;TRUE
2020;1;"F6";"HOMA";"d1";0;3;TRUE
2020;1;"F6";"HOMA";"d1";0;4;TRUE
2020;1;"F6";"HOMA";"d1";0;3;TRUE
2020;1;"F6";"LEMA";"d1";4;0;TRUE
2020;1;"F6";"BEMA";"d1";1;5;TRUE
2020;2;"A1";"SCLA";"d1";0;3;TRUE
2020;2;"A1";"SCLA";"d1";0;7;TRUE
2020;2;"A1";"SCLA";"d1";0;3;TRUE
2020;2;"A1";"SCLA";"d1";0;7;TRUE
2020;2;"A1";"BEMA";"d1";0;9;TRUE
2020;2;"A1";"LEMA";"d1";5;4;TRUE
2020;2;"A2";"LEMA";"d1";2;4;TRUE
2020;2;"A2";"BEMA";"d1";0;11;TRUE
2020;2;"A2";"SCLA";"d1";3;3;TRUE
2020;2;"A3";"BEMA";"d1";1;1;TRUE
2020;2;"A3";"CHFU";"d1";0;4;TRUE
2020;2;"A3";"CHFU";"d1";0;5;TRUE
2020;2;"A3";"HOMA";"d1";4;1;TRUE
2020;2;"A3";"CHFU";"d1";4;4;TRUE
2020;2;"A3";"CHFU";"d1";4;5;TRUE
2020;2;"A3";"LEMA";"d1";2;6;TRUE
2020;2;"A4";"BEMA";"d1";1;3;TRUE
2020;2;"A4";"LEMA";"d1";4;3;TRUE
2020;2;"A4";"CHFU";"d1";0;3;TRUE
2020;2;"A5";"LEMA";"d1";10;0;TRUE
2020;2;"A5";"HOMA";"d1";2;4;TRUE
2020;2;"A5";"CHFU";"d1";0;10;TRUE
2020;2;"A5";"BEMA";"d1";1;8;TRUE
2020;2;"A6";"HOMA";"d1";1;4;TRUE
2020;2;"A6";"HOMA";"d1";1;3;TRUE
2020;2;"A6";"SCLA";"d1";0;8;TRUE
2020;2;"A6";"SCLA";"d1";0;5;TRUE
2020;2;"A6";"SCLA";"d1";2;8;TRUE
2020;2;"A6";"SCLA";"d1";2;5;TRUE
2020;2;"A6";"BEMA";"d1";3;6;TRUE
2020;2;"A6";"HOMA";"d1";4;4;TRUE
2020;2;"A6";"HOMA";"d1";4;3;TRUE
2020;2;"B1";"HOMA";"d1";0;4;TRUE
2020;2;"B1";"CHFU";"d1";0;4;TRUE
2020;2;"B1";"LEMA";"d1";0;6;TRUE
2020;2;"B1";"SCLA";"d1";1;4;TRUE
2020;2;"B1";"BEMA";"d1";0;8;TRUE
2020;2;"B2";"SCLA";"d1";0;7;FALSE
2020;2;"B2";"LEMA";"d1";6;0;FALSE
2020;2;"B2";"LEMA";"d1";6;10;FALSE
2020;2;"B2";"BEMA";"d1";0;8;FALSE
2020;2;"B2";"HOMA";"d1";0;7;FALSE
2020;2;"B2";"CHFU";"d1";2;3;FALSE
2020;2;"B2";"CHFU";"d1";2;9;FALSE
2020;2;"B2";"CHFU";"d1";0;3;FALSE
2020;2;"B2";"CHFU";"d1";0;9;FALSE
2020;2;"B2";"LEMA";"d1";3;0;FALSE
2020;2;"B2";"LEMA";"d1";3;10;FALSE
2020;2;"B3";"BEMA";"d1";2;1;FALSE
2020;2;"B3";"SCLA";"d1";0;4;FALSE
2020;2;"B3";"CHFU";"d1";0;17;FALSE
2020;2;"B3";"LEMA";"d1";0;6;FALSE
2020;2;"B4";"SCLA";"d1";0;5;FALSE
2020;2;"B4";"SCLA";"d1";0;7;FALSE
2020;2;"B4";"SCLA";"d1";0;5;FALSE
2020;2;"B4";"SCLA";"d1";0;7;FALSE
2020;2;"B4";"BEMA";"d1";3;2;FALSE
2020;2;"B4";"LEMA";"d1";1;8;FALSE
2020;2;"B5";"LEMA";"d1";2;0;FALSE
2020;2;"B5";"BEMA";"d1";3;5;FALSE
2020;2;"B6";"LEMA";"d1";4;4;TRUE
2020;2;"B6";"BEMA";"d1";0;10;TRUE
2020;2;"B6";"HOMA";"d1";0;6;TRUE
2020;2;"B6";"SCLA";"d1";0;7;TRUE
2020;2;"C1";"BEMA";"d1";2;3;TRUE
2020;2;"C1";"CHFU";"d1";1;5;TRUE
2020;2;"C1";"LEMA";"d1";4;9;TRUE
2020;2;"C1";"SCLA";"d1";0;5;TRUE
2020;2;"C2";"BEMA";"d1";0;12;FALSE
2020;2;"C2";"LEMA";"d1";1;7;FALSE
2020;2;"C2";"SCLA";"d1";0;2;FALSE
2020;2;"C2";"CHFU";"d1";0;4;FALSE
2020;2;"C2";"HOMA";"d1";0;3;FALSE
2020;2;"C3";"LEMA";"d1";2;0;FALSE
2020;2;"C3";"CHFU";"d1";1;3;FALSE
2020;2;"C3";"BEMA";"d1";0;4;FALSE
2020;2;"C3";"SCLA";"d1";0;3;FALSE
2020;2;"C4";"BEMA";"d1";2;10;FALSE
2020;2;"C4";"LEMA";"d1";1;10;FALSE
2020;2;"C4";"CHFU";"d1";0;5;FALSE
2020;2;"C4";"SCLA";"d1";0;6;FALSE
