"Day";"Month";"plot";"subplot";"vis";"Plant";"individuals";"seed";"fruit";"flowers";"x_coor2";"y_coor2";"flowers2";"unique_id";"Bee";"Beetle";"Butterfly";"Fly";"<NA>";"distance";"n_neighbors";"n_neighbors_total";"distance_total";"n_neighbors_inter";"n_neighbors_intra"
1;6;1;"B2";10;"LEMA";39;80,5;32;8;2;2;8;"1_B2_LEMA_Beetle";0;10;0;0;0;"a";867;867;"a";867;1869
1;6;1;"B4";12;"LEMA";63;65;38;7;2;5;7;"1_B4_LEMA_Beetle";0;12;0;0;0;"a";867;867;"a";867;1869
1;6;1;"B5";9;"LEMA";43;69,3333333333333;18;3;2;6,5;3;"1_B5_LEMA_Beetle";0;9;0;0;0;"a";867;867;"a";867;1869
1;6;1;"C2";8;"LEMA";32;89,5;43;8;3,5;2;8;"1_C2_LEMA_Beetle";0;8;0;0;0;"a";867;867;"a";867;1869
1;6;1;"C3";6;"LEMA";51;58;14;11;3,5;3,5;11;"1_C3_LEMA_Beetle";0;6;0;0;0;"a";867;867;"a";867;1869
1;6;1;"C4";5;"LEMA";64;59;4;5;3,5;5;5;"1_C4_LEMA_Beetle";0;5;0;0;0;"a";867;867;"a";867;1869
1;6;1;"C5";1;"LEMA";80;67;23;11;3,5;6,5;11;"1_C5_LEMA_Beetle";0;1;0;0;0;"a";867;867;"a";867;1869
1;6;1;"D2";9;"LEMA";57;75;12;13;5;2;13;"1_D2_LEMA_Beetle";0;9;0;0;0;"a";867;867;"a";867;1869
1;6;1;"D3";5;"LEMA";76;62;4;14;5;3,5;14;"1_D3_LEMA_Beetle";0;5;0;0;0;"a";867;867;"a";867;1869
1;6;1;"D4";12;"LEMA";45;66,5;13;20;5;5;20;"1_D4_LEMA_Beetle";0;12;0;0;0;"a";867;867;"a";867;1869
1;6;1;"D5";9;"LEMA";62;65;19;17;5;6,5;17;"1_D5_LEMA_Beetle";0;9;0;0;0;"a";867;867;"a";867;1869
1;6;1;"E2";10;"LEMA";57;76,5;13;7;6,5;2;7;"1_E2_LEMA_Beetle";0;10;0;0;0;"a";867;867;"a";867;1869
1;6;1;"E3";7;"LEMA";46;51,5;17;12;6,5;3,5;12;"1_E3_LEMA_Beetle";0;7;0;0;0;"a";867;867;"a";867;1869
1;6;1;"E3";2;"LEMA";46;51,5;17;12;6,5;3,5;12;"1_E3_LEMA_Fly";0;0;0;2;0;"a";867;867;"a";867;1869
1;6;1;"E4";5;"LEMA";49;67;20;14;6,5;5;14;"1_E4_LEMA_Beetle";0;5;0;0;0;"a";867;867;"a";867;1869
1;6;1;"E5";3;"LEMA";71;59;12;13;6,5;6,5;13;"1_E5_LEMA_Beetle";0;3;0;0;0;"a";867;867;"a";867;1869
1;6;1;"E5";3;"LEMA";71;59;12;13;6,5;6,5;13;"1_E5_LEMA_Fly";0;0;0;3;0;"a";867;867;"a";867;1869
1;6;2;"B2";8;"LEMA";74;54;8;20;35;28;20;"2_B2_LEMA_Beetle";0;8;0;0;0;"a";1545;1545;"a";1545;2831
1;6;2;"B2";1;"CETE";7;111;16;15;35;28;15;"2_B2_CETE_Fly";0;0;0;1;0;"a";3927;3927;"a";3927;449
1;6;2;"B2";5;"LEMA";74;54;8;20;35;28;20;"2_B2_LEMA_Fly";0;0;0;5;0;"a";1545;1545;"a";1545;2831
1;6;2;"B3";10;"LEMA";65;73;6;17;35;29,5;17;"2_B3_LEMA_Beetle";0;10;0;0;0;"a";1545;1545;"a";1545;2831
1;6;2;"B4";15;"LEMA";93;50,3333333333333;18;20;35;31;20;"2_B4_LEMA_Beetle";0;15;0;0;0;"a";1545;1545;"a";1545;2831
1;6;2;"B5";12;"LEMA";80;63;3;9;35;32,5;9;"2_B5_LEMA_Beetle";0;12;0;0;0;"a";1545;1545;"a";1545;2831
1;6;2;"C2";4;"LEMA";55;80;19;13;36,5;28;13;"2_C2_LEMA_Beetle";0;4;0;0;0;"a";1545;1545;"a";1545;2831
1;6;2;"C3";5;"LEMA";50;105,5;4;17;36,5;29,5;17;"2_C3_LEMA_Beetle";0;5;0;0;0;"a";1545;1545;"a";1545;2831
1;6;2;"C4";4;"LEMA";114;40;10;18;36,5;31;18;"2_C4_LEMA_Beetle";0;4;0;0;0;"a";1545;1545;"a";1545;2831
1;6;2;"C5";6;"LEMA";125;111;6;7;36,5;32,5;7;"2_C5_LEMA_Beetle";0;6;0;0;0;"a";1545;1545;"a";1545;2831
1;6;2;"D2";6;"LEMA";53;48;9;0;38;28;0;"2_D2_LEMA_Beetle";0;6;0;0;0;"a";1545;1545;"a";1545;2831
1;6;2;"D3";4;"LEMA";47;32;12;0;38;29,5;0;"2_D3_LEMA_Beetle";0;4;0;0;0;"a";1545;1545;"a";1545;2831
1;6;2;"D4";4;"LEMA";53;29;6;0;38;31;0;"2_D4_LEMA_Beetle";0;4;0;0;0;"a";1545;1545;"a";1545;2831
1;6;2;"D5";4;"LEMA";53;57;10;0;38;32,5;0;"2_D5_LEMA_Beetle";0;4;0;0;0;"a";1545;1545;"a";1545;2831
1;6;2;"E2";8;"LEMA";61;110;14;0;39,5;28;0;"2_E2_LEMA_Beetle";0;8;0;0;0;"a";1545;1545;"a";1545;2831
1;6;2;"E3";6;"LEMA";46;155;6;0;39,5;29,5;0;"2_E3_LEMA_Beetle";0;6;0;0;0;"a";1545;1545;"a";1545;2831
1;6;2;"E4";8;"LEMA";77;18;13;0;39,5;31;0;"2_E4_LEMA_Beetle";0;8;0;0;0;"a";1545;1545;"a";1545;2831
1;6;2;"E5";6;"LEMA";41;45,5;14;0;39,5;32,5;0;"2_E5_LEMA_Beetle";0;6;0;0;0;"a";1545;1545;"a";1545;2831
1;6;3;"B2";2;"LEMA";8;58;3;6;80;56;6;"3_B2_LEMA_Beetle";0;2;0;0;0;"a";5887;5887;"a";5887;887
1;6;3;"B3";2;"LEMA";10;52,5;14;2;80;57,5;2;"3_B3_LEMA_Beetle";0;2;0;0;0;"a";5887;5887;"a";5887;887
1;6;3;"B5";2;"LEMA";28;59,3333333333333;5;3;80;60,5;3;"3_B5_LEMA_Beetle";0;2;0;0;0;"a";5887;5887;"a";5887;887
1;6;3;"C2";3;"LEMA";14;53;2;NA;81,5;56;0;"3_C2_LEMA_Beetle";0;3;0;0;0;"a";5887;5887;"a";5887;887
1;6;3;"C3";5;"LEMA";11;42;15;NA;81,5;57,5;0;"3_C3_LEMA_Beetle";0;5;0;0;0;"a";5887;5887;"a";5887;887
1;6;3;"C4";5;"LEMA";10;40;1;NA;81,5;59;0;"3_C4_LEMA_Beetle";0;5;0;0;0;"a";5887;5887;"a";5887;887
1;6;3;"C5";1;"LEMA";39;58;10;NA;81,5;60,5;0;"3_C5_LEMA_Beetle";0;1;0;0;0;"a";5887;5887;"a";5887;887
1;6;3;"D2";3;"LEMA";8;58;18;6;83;56;6;"3_D2_LEMA_Beetle";0;3;0;0;0;"a";5887;5887;"a";5887;887
1;6;3;"D3";4;"LEMA";10;58;6,5;3;83;57,5;3;"3_D3_LEMA_Beetle";0;4;0;0;0;"a";5887;5887;"a";5887;887
1;6;3;"D5";2;"LEMA";36;35;4;13;83;60,5;13;"3_D5_LEMA_Beetle";0;2;0;0;0;"a";5887;5887;"a";5887;887
1;6;3;"D5";2;"LEMA";36;35;4;13;83;60,5;13;"3_D5_LEMA_Fly";0;0;0;2;0;"a";5887;5887;"a";5887;887
1;6;3;"E2";4;"LEMA";9;58;2;14;84,5;56;14;"3_E2_LEMA_Beetle";0;4;0;0;0;"a";5887;5887;"a";5887;887
1;6;3;"E2";1;"LEMA";9;58;2;14;84,5;56;14;"3_E2_LEMA_Fly";0;0;0;1;0;"a";5887;5887;"a";5887;887
1;6;3;"E3";2;"LEMA";26;46;16;23;84,5;57,5;23;"3_E3_LEMA_Beetle";0;2;0;0;0;"a";5887;5887;"a";5887;887
1;6;3;"E3";1;"LEMA";26;46;16;23;84,5;57,5;23;"3_E3_LEMA_Fly";0;0;0;1;0;"a";5887;5887;"a";5887;887
1;6;3;"E4";3;"LEMA";37;58;9;15;84,5;59;15;"3_E4_LEMA_Beetle";0;3;0;0;0;"a";5887;5887;"a";5887;887
1;6;3;"E5";2;"LEMA";53;67,5;6;5;84,5;60,5;5;"3_E5_LEMA_Beetle";0;2;0;0;0;"a";5887;5887;"a";5887;887
1;6;5;"B4";1;"LEMA";12;58;2;15;124;157;15;"5_B4_LEMA_Beetle";0;1;0;0;0;"a";2657;2657;"a";2657;294
1;6;5;"B5";3;"LEMA";3;58;1;2;124;158,5;2;"5_B5_LEMA_Beetle";0;3;0;0;0;"a";2657;2657;"a";2657;294
1;6;5;"C2";1;"LEMA";9;51;1;5;125,5;154;5;"5_C2_LEMA_Beetle";0;1;0;0;0;"a";2657;2657;"a";2657;294
1;6;5;"C4";3;"LEMA";8;39;4;6;125,5;157;6;"5_C4_LEMA_Beetle";0;3;0;0;0;"a";2657;2657;"a";2657;294
1;6;5;"D2";4;"LEMA";7;58;1;9;127;154;9;"5_D2_LEMA_Beetle";0;4;0;0;0;"a";2657;2657;"a";2657;294
1;6;5;"D5";2;"LEMA";9;58;1;11;127;158,5;11;"5_D5_LEMA_Beetle";0;2;0;0;0;"a";2657;2657;"a";2657;294
1;6;7;"B2";2;"LEMA";28;58;6;1;235;289;1;"7_B2_LEMA_Beetle";0;2;0;0;0;"a";6322;6322;"a";6322;1245
1;6;7;"B3";1;"LEMA";20;58;5;0;235;290,5;0;"7_B3_LEMA_Beetle";0;1;0;0;0;"a";6322;6322;"a";6322;1245
1;6;7;"B4";2;"LEMA";42;73;7;0;235;292;0;"7_B4_LEMA_Beetle";0;2;0;0;0;"a";6322;6322;"a";6322;1245
1;6;7;"B5";3;"LEMA";7;13;3;0;235;293,5;0;"7_B5_LEMA_Beetle";0;3;0;0;0;"a";6322;6322;"a";6322;1245
1;6;7;"C2";1;"LEMA";28;50;5;3;236,5;289;3;"7_C2_LEMA_Beetle";0;1;0;0;0;"a";6322;6322;"a";6322;1245
1;6;7;"C3";1;"LEMA";24;58;2;2;236,5;290,5;2;"7_C3_LEMA_Beetle";0;1;0;0;0;"a";6322;6322;"a";6322;1245
1;6;7;"C4";3;"LEMA";36;58;2;3;236,5;292;3;"7_C4_LEMA_Beetle";0;3;0;0;0;"a";6322;6322;"a";6322;1245
1;6;7;"C5";1;"LEMA";48;49;1;0;236,5;293,5;0;"7_C5_LEMA_Beetle";0;1;0;0;0;"a";6322;6322;"a";6322;1245
1;6;7;"D5";1;"LEMA";72;58;3;1;238;293,5;1;"7_D5_LEMA_Beetle";0;1;0;0;0;"a";6322;6322;"a";6322;1245
1;6;7;"E2";6;"LEMA";32;58;6;3;239,5;289;3;"7_E2_LEMA_Beetle";0;6;0;0;0;"a";6322;6322;"a";6322;1245
1;6;7;"E4";3;"LEMA";52;58;3;0;239,5;292;0;"7_E4_LEMA_Beetle";0;3;0;0;0;"a";6322;6322;"a";6322;1245
1;6;7;"E5";1;"LEMA";52;58;2;0;239,5;293,5;0;"7_E5_LEMA_Beetle";0;1;0;0;0;"a";6322;6322;"a";6322;1245
1;6;8;"B2";5;"LEMA";40;58;5;0;274;270;0;"8_B2_LEMA_Beetle";0;5;0;0;0;"a";6812;6812;"a";6812;888
