group;distance;beetle;inter;intra;flowers
fitness;6m;-0.017;-0.0118;0.317;NA
fitness;3m;-0.017;-0.173;0.232;NA
fitness;1m;0.015;-0.158;0.232;NA
fitness;7.5cm;0.079;-0.264;-0.13;NA
beetle;6m;NA;-0.434;NA;0.012
beetle;3m;NA;-0.423;NA;0.027
beetle;1m;NA;-0.367;NA;0.056
beetle;7.5cm;NA;-0.126;NA;0.192
fly;6m;NA;NA;0.171;NA
fly;3m;NA;NA;0.165;NA
fly;1m;NA;NA;0.177;NA
fly;7.5cm;NA;NA;0.075;NA
flower;6m;NA;0.132;-0.347;NA
flower;3m;NA;0.177;-0.305;NA
flower;1m;NA;0.165;-0.307;NA
flower;7.5cm;NA;0.031;-0.183;NA
fitness.indv;6m;0.175;-0.345;0.121;NA
fitness.indv;3m;0.181;-0.352;0.085;NA
fitness.indv;1m;0.225;-0.299;0.056;NA
beetle.indv;6m;NA;-0.434;NA;0.012
beetle.indv;3m;NA;-0.423;NA;0.027
beetle.indv;1m;NA;-0.367;NA;0.056
fly.indv;6m;NA;NA;0.171;NA
fly.indv;3m;NA;NA;0.165;NA
fly.indv;1m;NA;NA;0.177;NA
flower.indv;6m;NA;-0.347;0.132;NA
flower.indv;3m;NA;-0.305;0.177;NA
flower.indv;1m;NA;-0.307;0.165;NA
