Day;Month;Year;Plot;Subplot;BEMA;CETE;CHFU;CHMI;RAPE;LEMA;SAOS;SOAS;SCLA;SPRU;MEPO;MESU;PUPA;FRPU;PLCO;ANAR;Geranium;ACHI;Observer;Obs
13;2;2020;1;F2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Nacho;
13;2;2020;1;E5;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Nacho;
13;2;2020;1;C5;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Nacho;
13;2;2020;1;A3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Nacho;
13;2;2020;1;OUT;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Nacho;
13;2;2020;2;A1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Nacho;
13;2;2020;2;A3;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Nacho;
13;2;2020;2;C1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Nacho;
13;2;2020;2;D1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Nacho;
13;2;2020;2;E1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Nacho;
13;2;2020;2;E2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Nacho;
13;2;2020;2;E3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Nacho;
13;2;2020;2;D4;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Nacho;
13;2;2020;2;D5;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Nacho;
13;2;2020;2;D1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Nacho;
13;2;2020;2;E3;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Nacho;
13;2;2020;2;E2;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Nacho;
13;2;2020;2;OUT;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Nacho;Near A2, F4
13;2;2020;8;A1;0;0;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Nacho;
13;2;2020;8;A2;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Nacho;
13;2;2020;8;A3;0;0;12;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Nacho;
13;2;2020;8;A4;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Nacho;
13;2;2020;8;A5;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Nacho;
13;2;2020;8;A6;0;0;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Nacho;
13;2;2020;8;B6;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Nacho;
13;2;2020;8;B5;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Nacho;
13;2;2020;8;B4;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Nacho;
13;2;2020;8;B3;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Nacho;
13;2;2020;8;B2;0;0;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Nacho;
13;2;2020;8;B1;0;0;37;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Nacho;
13;2;2020;8;C1;0;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Nacho;
13;2;2020;8;C2;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Nacho;
13;2;2020;8;C3;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Nacho;
13;2;2020;8;C3;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Nacho;
13;2;2020;8;C4;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Nacho;
13;2;2020;8;C5;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Nacho;
13;2;2020;8;C6;0;0;39;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Nacho;
13;2;2020;8;D6;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Nacho;
13;2;2020;8;D5;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Nacho;
13;2;2020;8;D4;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Nacho;
13;2;2020;8;D3;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Nacho;
