Plot;Subplot;Plant_Simple;G_F;Visits;num.plantas;Fruit;Seed;Seed_t
3;A6;CHFU;Hoverflies;3;4;1;76;304
3;D3;CHFU;Hoverflies;2;1;0;0;0
3;F2;CHFU;Hoverflies;1;5;2;152;760
5;A3;CHFU;Hoverflies;2;16;3;228;3648
5;C3;CHFU;Hoverflies;2;4;5;380;1520
5;C4;CHFU;Small_flies;1;2;1;76;152
5;F5;CHFU;Small_flies;1;6;5;380;2280
5;F6;CHFU;Hoverflies;3;1;0;0;0
5;F6;CHFU;Hoverflies;1;1;0;0;0
8;A3;CHFU;Hoverflies;1;28;15;1140;31920
8;A6;CHFU;Hoverflies;1;60;10;760;45600
9;A6;CHFU;Small_flies;1;19;4;304;5776
9;B1;CHFU;Small_flies;1;60;2;152;9120
8;B3;CHFU;Hoverflies;1;22;10;760;16720
9;C1;CHFU;Hoverflies;1;50;1;76;3800
9;C3;CHFU;Hoverflies;1;35;2;152;5320
9;C6;CHFU;Small_flies;1;9;1;76;684
9;C6;CHFU;Hoverflies;1;9;1;76;684
8;D1;CHFU;Hoverflies;3;1;7;532;532
9;D4;CHFU;Hoverflies;1;100;4;304;30400
1;A2;CHFU;Small_flies;1;1;1;76;76
1;B2;CHFU;Hoverflies;1;3;2;152;456
2;A3;CHFU;Small_flies;1;7;2;152;1064
3;C3;CHFU;Hoverflies;1;4;1;76;304
4;A5;CHFU;Hoverflies;1;5;5;380;1900
5;A3;CHFU;Small_flies;1;16;3;228;3648
5;A5;CHFU;Small_flies;1;5;2;152;760
5;B2;CHFU;Small_flies;1;17;11;836;14212
6;A2;CHFU;Small_beetles;1;14;3;228;3192
7;B5;CHFU;Small_flies;1;32;9;684;21888
7;C2;CHFU;Small_flies;1;2;5;380;760
7;C5;CHFU;Small_flies;1;4;4;304;1216
7;E2;CHFU;Small_flies;1;2;3;228;456
8;A4;CHFU;Small_flies;1;50;7;532;26600
8;D6;CHFU;Hoverflies;1;35;5;380;13300
9;D3;CHFU;Hoverflies;1;80;3;228;18240
9;E4;CHFU;Small_flies;1;60;3;228;13680
5;D2;CHFU;Small_flies;2;9;15;1140;10260
6;A6;CHFU;Small_flies;1;20;2;152;3040
6;E5;ME;Hoverflies;1;1;0;0;0
6;F2;CHFU;Bees;1;35;6;456;15960
9;A2;CHFU;Hoverflies;1;20;5;380;7600
9;A4;CHFU;Small_flies;1;3;2;152;456
9;C3;CHFU;Hoverflies;1;35;2;152;5320
9;C5;CHFU;Hoverflies;1;30;3;228;6840
9;E3;LEMA;Hoverflies;1;1;0;0;0
9;E4;CHFU;Hoverflies;1;60;3;228;13680
9;E5;CHFU;Bees;1;20;2;152;3040
1;C5;CHFU;Small_flies;1;4;2;152;608
1;C5;CHFU;Small_flies;1;4;2;152;608
2;B1;CHFU;Small_flies;1;3;2;152;456
2;F3;LEMA;Bees;1;35;4;256;8960
3;D2;CHFU;Small_beetles;1;3;1;76;228
3;E2;CHFU;Small_flies;1;1;1;76;76
4;A2;CHFU;Bees;1;20;5;380;7600
4;A6;CHFU;Hoverflies;1;3;3;228;684
4;C2;LEMA;Bees;1;35;7;448;15680
4;E4;LEMA;Hoverflies;1;18;3;192;3456
4;E4;LEMA;Small_beetles;1;18;3;192;3456
4;F1;LEMA;Bees;1;16;14;896;14336
5;A1;LEMA;Small_beetles;1;4;2;128;512
5;B2;CHFU;Hoverflies;1;17;11;836;14212
5;D5;CHFU;Small_flies;1;6;4;304;1824
5;E1;CHFU;Small_beetles;1;26;9;684;17784
6;A3;CHFU;Small_beetles;1;12;3;228;2736
6;B3;CHFU;Hoverflies;2;7;3;228;1596
6;B4;LEMA;Hoverflies;1;6;2;128;768
7;A5;CHFU;Small_flies;1;3;6;456;1368
7;A5;CHFU;House_flies;1;3;6;456;1368
7;B2;CHFU;Small_flies;1;2;8;608;1216
7;B6;CHFU;Small_flies;1;30;6;456;13680
7;C2;CHFU;Bees;1;2;5;380;760
7;C2;CHFU;Bees;1;2;5;380;760
7;C3;CHFU;Small_flies;1;1;14;1064;1064
7;F1;CHFU;Small_flies;1;1;0;0;0
8;B1;CHFU;Small_flies;1;5;7;532;2660
8;C2;CHFU;Hoverflies;1;19;8;608;11552
8;D2;CHFU;Small_beetles;1;6;5;380;2280
8;D2;CHFU;Hoverflies;1;6;5;380;2280
8;E5;CHFU;Small_flies;1;40;6;456;18240
9;A2;CHFU;Small_flies;1;20;5;380;7600
9;A3;CHFU;Small_flies;1;6;2;152;912
9;B2;CHFU;Small_flies;1;35;2;152;5320
9;B3;CHFU;Small_beetles;1;25;2;152;3800
9;D2;CHFU;Hoverflies;1;35;2;152;5320
9;D4;CHFU;Small_flies;2;100;4;304;30400
9;E3;CHFU;Small_flies;1;70;3;228;15960
9;E4;CHFU;House_flies;1;60;3;228;13680
9;F4;CHFU;Small_flies;3;20;4;304;6080
9;F5;CHFU;Small_flies;2;50;3;228;11400
9;F6;CHFU;Small_flies;5;70;6;456;31920
1;A3;CHFU;Small_flies;1;7;2;152;1064
1;B1;CHFU;Hoverflies;1;3;2;152;456
1;B2;ME;Small_flies;1;1;0;0;0
1;B2;CHFU;Small_flies;2;3;2;152;456
1;C4;CHFU;Small_flies;1;3;1;76;228
2;A4;CHFU;Small_flies;2;6;4;304;1824
4;A2;CHFU;Small_flies;1;20;5;380;7600
4;A2;CHFU;Small_flies;1;20;5;380;7600
4;B1;CHFU;Small_flies;1;2;1;76;152
4;B1;CHFU;Flower_beetles;1;2;1;76;152
4;B1;CHFU;Flower_beetles;1;2;1;76;152
4;B2;CHFU;Small_flies;1;11;7;532;5852
4;B5;CHFU;Small_flies;1;5;7;532;2660
4;B5;CHFU;Flower_beetles;2;5;7;532;2660
4;B6;CHFU;Small_flies;1;5;5;380;1900
4;B6;CHFU;Small_flies;1;5;5;380;1900
4;C2;CHFU;Small_flies;1;5;5;380;1900
4;D6;CHFU;Small_flies;1;5;5;380;1900
4;E5;CHFU;Small_flies;1;2;9;684;1368
