Day;Month;Year;Plot;Subplot;Group;Order;Family;Species;Plant;Plant_Simple;Time;Abundances
1;2;2016;1;C6;Flies;Diptera;NA;NA;CHFU;CHFU;14.32;1
1;2;2016;1;D6;Flies;Diptera;Syrphidae;NA;CHFU;CHFU;14.32;1
1;2;2016;1;E5;Flies;Diptera;Syrphidae;NA;CHFU;CHFU;14.32;2
1;2;2016;1;E6;Flies;Diptera;Syrphidae;NA;CHFU;CHFU;14.32;1
1;2;2016;1;F3;Flies;Diptera;Syrphidae;NA;CHFU;CHFU;14.32;1
1;2;2016;1;NA;NA;NA;NA;NA;LEMA;LEMA;14.32;1
1;2;2016;1;NA;NA;NA;NA;NA;SOAS;SOAS;14.32;1
1;2;2016;2;B3;Flies;Diptera;Syrphidae;NA;CHFU;CHFU;14;1
1;2;2016;2;D4;Flies;Diptera;Syrphidae;NA;CHFU;CHFU;14;1
1;2;2016;2;E1;Flies;Diptera;Syrphidae;NA;CHFU;CHFU;14;1
1;2;2016;2;E2;Flies;Diptera;NA;NA;CHFU;CHFU;14;1
1;2;2016;2;E3;Flies;Diptera;Syrphidae;NA;CHFU;CHFU;14;1
1;2;2016;2;NA;NA;NA;NA;NA;LEMA;LEMA;14;1
1;2;2016;2;NA;NA;NA;NA;NA;SOAS;SOAS;14;1
1;2;2016;3;NA;NA;NA;NA;NA;CHFU;CHFU;10.33;1
1;2;2016;3;NA;NA;NA;NA;NA;SOAS;SOAS;10.33;1
1;2;2016;6;NA;NA;NA;NA;NA;CHFU;CHFU;11.13;1
1;2;2016;6;NA;NA;NA;NA;NA;LEMA;LEMA;11.13;1
1;2;2016;6;NA;NA;NA;NA;NA;SOAS;SOAS;11.13;1
1;2;2016;7;B3;Flies;Diptera;NA;NA;CHFU;CHFU;14.32;1
1;2;2016;7;B6;Flies;Diptera;Syrphidae;NA;CHFU;CHFU;14.32;1
1;2;2016;7;E1;Flies;Diptera;NA;NA;CHFU;CHFU;14.32;2
1;2;2016;7;E2;Flies;Diptera;Syrphidae;NA;CHFU;CHFU;14.32;1
1;2;2016;7;E2;NA;NA;NA;NA;CHFU;CHFU;14.32;1
1;2;2016;7;E3;Flies;Diptera;NA;NA;CHFU;CHFU;14.32;1
1;2;2016;7;E4;Flies;Diptera;Syrphidae;NA;CHFU;CHFU;14.32;1
1;2;2016;7;E6;Flies;Diptera;NA;NA;CHFU;CHFU;14.32;1
1;2;2016;7;F3;Flies;Diptera;Syrphidae;NA;CHFU;CHFU;14.32;1
1;2;2016;7;NA;NA;NA;NA;NA;SOAS;SOAS;14.32;1
1;2;2016;8;B5;Flies;Diptera;Syrphidae;NA;CHFU;CHFU;12.50;1
1;2;2016;8;B6;Flies;Diptera;Syrphidae;NA;CHFU;CHFU;12.50;1
1;2;2016;8;C3;Flies;Diptera;NA;NA;CHFU;CHFU;12.50;1
1;2;2016;8;C5;Flies;Diptera;Syrphidae;NA;CHFU;CHFU;12.50;1
1;2;2016;8;D4;Flies;Diptera;NA;NA;CHFU;CHFU;12.50;1
1;2;2016;8;D5;Flies;Diptera;NA;NA;CHFU;CHFU;12.50;1
1;2;2016;8;E6;Flies;Diptera;NA;NA;CHFU;CHFU;12.50;1
1;2;2016;8;F1;NA;NA;NA;NA;CHFU;CHFU;12.50;1
1;2;2016;8;NA;NA;NA;NA;NA;RAPE;RAPE;12.50;1
1;2;2016;8;NA;NA;NA;NA;NA;SCLA;SCLA;12.50;1
1;2;2016;8;NA;NA;NA;NA;NA;SOAS;SOAS;12.50;1
1;2;2016;9;NA;NA;NA;NA;NA;CHFU;CHFU;11.50;1
1;2;2016;9;NA;NA;NA;NA;NA;LEMA;LEMA;12.50;1
1;2;2016;9;NA;NA;NA;NA;NA;RAPE;RAPE;11.50;1
1;2;2016;9;NA;NA;NA;NA;NA;SOAS;SOAS;11.50;1
1;2;2016;NA;D5;Flies;Diptera;NA;NA;CHFU;CHFU;12.50;1
1;2;2016;NA;OUT;Bees;Hymenoptera;Andrenidae;Andrena_cinerea_elliptica;CHFU;CHFU;NA;2
1;2;2016;NA;OUT;Bees;Hymenoptera;Andrenidae;Andrena_hesperia;RAPE;RAPE;NA;1
1;2;2016;NA;OUT;Bees;Hymenoptera;Andrenidae;Andrena_sp.;CHFU;CHFU;12.50;1
1;2;2016;NA;OUT;Bees;Hymenoptera;Andrenidae;Andrena_sp.;CHFU;CHFU;NA;1
1;2;2016;NA;OUT;Bees;Hymenoptera;Andrenidae;Andrena_sp.;RAPE;RAPE;NA;1
1;2;2016;NA;OUT;Bees;Hymenoptera;Halictidae;Lasioglossum_sp.;CHFU;CHFU;12.50;1
1;2;2016;NA;OUT;NA;NA;NA;NA;CHFU;CHFU;12.50;3
1;4;2016;1;A1;Beetles;Coleoptera;NA;NA;LEMA;LEMA;11.30;2
1;4;2016;1;A2;Beetles;Coleoptera;NA;NA;LEMA;LEMA;11.30;3
1;4;2016;1;A3;Beetles;Coleoptera;NA;NA;LEMA;LEMA;11.30;1
1;4;2016;1;A4;Beetles;Coleoptera;NA;NA;LEMA;LEMA;11.30;4
1;4;2016;1;A5;Beetles;Coleoptera;NA;NA;LEMA;LEMA;11.30;2
1;4;2016;1;A6;Beetles;Coleoptera;NA;NA;LEMA;LEMA;11.30;3
1;4;2016;1;B1;Beetles;Coleoptera;NA;NA;LEMA;LEMA;11.30;2
1;4;2016;1;B2;Beetles;Coleoptera;NA;NA;LEMA;LEMA;11.30;2
1;4;2016;1;B3;Beetles;Coleoptera;NA;NA;LEMA;LEMA;11.30;3
1;4;2016;1;B5;Beetles;Coleoptera;NA;NA;LEMA;LEMA;11.30;2
1;4;2016;1;B6;Beetles;Coleoptera;NA;NA;LEMA;LEMA;11.30;2
1;4;2016;1;C1;Bees;Hymenoptera;Andrenidae;Andrena_cinerea_elliptica;LEMA;LEMA;11.30;1
1;4;2016;1;C5;Bees;Hymenoptera;Andrenidae;NA;LEMA;LEMA;11.30;1
1;4;2016;1;C6;Bees;Hymenoptera;Halictidae;Lasioglossum_sp.;LEMA;LEMA;11.30;1
1;4;2016;1;D1;Beetles;Coleoptera;NA;NA;LEMA;LEMA;11.30;1
1;4;2016;1;D2;Beetles;Coleoptera;NA;NA;LEMA;LEMA;11.30;3
1;4;2016;1;D3;Beetles;Coleoptera;NA;NA;LEMA;LEMA;11.30;1
1;4;2016;1;D5;Beetles;Coleoptera;NA;NA;LEMA;LEMA;11.30;6
1;4;2016;1;D6;Beetles;Coleoptera;NA;NA;LEMA;LEMA;11.30;3
1;4;2016;1;E1;Beetles;Coleoptera;NA;NA;LEMA;LEMA;11.30;3
