plot;cell;position;x_coor;y_coor
;;;;
1;1;1A;0.5;0.5
;;;;
1;2;2A;0.5;2
;;;;
1;3;3A;0.5;3.5
;;;;
1;4;4A;0.5;5
;;;;
1;5;5A;0.5;6.5
;;;;
1;6;6A;0.5;8
;;;;
1;7;1B;2;0.5
;;;;
1;8;2B;2;2
;;;;
1;9;3B;2;3.5
;;;;
1;10;4B;2;5
;;;;
1;11;5B;2;6.5
;;;;
1;12;6B;2;8
;;;;
1;13;1C;3.5;0.5
;;;;
1;14;2C;3.5;2
;;;;
1;15;3C;3.5;3.5
;;;;
1;16;4C;3.5;5
;;;;
1;17;5C;3.5;6.5
;;;;
1;18;6C;3.5;8
;;;;
1;19;1D;5;0.5
;;;;
1;20;2D;5;2
;;;;
1;21;3D;5;3.5
;;;;
1;22;4D;5;5
;;;;
1;23;5D;5;6.5
;;;;
1;24;6D;5;8
;;;;
1;25;1E;6.5;0.5
;;;;
1;26;2E;6.5;2
;;;;
1;27;3E;6.5;3.5
;;;;
1;28;4E;6.5;5
;;;;
1;29;5E;6.5;6.5
;;;;
1;30;6E;6.5;8
;;;;
1;31;1F;8;0.5
;;;;
1;32;2F;8;2
;;;;
1;33;3F;8;3.5
;;;;
1;34;4F;8;5
;;;;
1;35;5F;8;6.5
;;;;
1;36;6F;8;8
