"year";"plot";"subplot";"focal";"distance";"neigh_intra";"neigh_inter";"edge"
2016;1;"A1";"BEMA";"d1";1;34;TRUE
2016;1;"A1";"HOMA";"d1";35;2;TRUE
2016;1;"A1";"LEMA";"d1";1;39;TRUE
2016;1;"A2";"BEMA";"d1";0;48;TRUE
2016;1;"A2";"HOMA";"d1";34;2;TRUE
2016;1;"A2";"LEMA";"d1";4;26;TRUE
2016;1;"A2";"SASO";"d1";0;65;TRUE
2016;1;"A3";"BEMA";"d1";0;38;TRUE
2016;1;"A3";"HOMA";"d1";42;1;TRUE
2016;1;"A3";"LEMA";"d1";2;31;TRUE
2016;1;"A3";"SASO";"d1";0;75;TRUE
2016;1;"A4";"BEMA";"d1";0;26;TRUE
2016;1;"A4";"HOMA";"d1";42;2;TRUE
2016;1;"A4";"LEMA";"d1";0;46;TRUE
2016;1;"A4";"SASO";"d1";1;52;TRUE
2016;1;"A5";"BEMA";"d1";2;55;TRUE
2016;1;"A5";"HOMA";"d1";38;1;TRUE
2016;1;"A5";"LEMA";"d1";0;58;TRUE
2016;1;"A5";"SASO";"d1";1;60;TRUE
2016;1;"A6";"HOMA";"d1";52;2;TRUE
2016;1;"A6";"LEMA";"d1";0;53;TRUE
2016;1;"A6";"MESU";"d1";2;38;TRUE
2016;1;"A6";"SASO";"d1";0;72;TRUE
2016;1;"B1";"BEMA";"d1";1;21;TRUE
2016;1;"B1";"HOMA";"d1";34;1;TRUE
2016;1;"B1";"LEMA";"d1";4;14;TRUE
2016;1;"B1";"SASO";"d1";1;45;TRUE
2016;1;"B2";"BEMA";"d1";0;61;FALSE
2016;1;"B2";"HOMA";"d1";32;2;FALSE
2016;1;"B2";"LEMA";"d1";1;39;FALSE
2016;1;"B2";"PUPA";"d1";0;44;FALSE
2016;1;"B2";"SASO";"d1";1;55;FALSE
2016;1;"B3";"HOMA";"d1";45;1;FALSE
2016;1;"B3";"LEMA";"d1";0;55;FALSE
2016;1;"B3";"PUPA";"d1";0;38;FALSE
2016;1;"B3";"SASO";"d1";1;60;FALSE
2016;1;"B4";"BEMA";"d1";0;36;FALSE
2016;1;"B4";"HOMA";"d1";48;1;FALSE
2016;1;"B4";"LEMA";"d1";2;38;FALSE
2016;1;"B4";"PUPA";"d1";0;45;FALSE
2016;1;"B4";"SASO";"d1";0;52;FALSE
2016;1;"B5";"BEMA";"d1";0;65;FALSE
2016;1;"B5";"HOMA";"d1";58;1;FALSE
2016;1;"B5";"LEMA";"d1";0;49;FALSE
2016;1;"B5";"SASO";"d1";0;49;FALSE
2016;1;"B6";"BEMA";"d1";1;37;TRUE
2016;1;"B6";"HOMA";"d1";32;1;TRUE
2016;1;"B6";"LEMA";"d1";1;42;TRUE
2016;1;"B6";"MESU";"d1";2;38;TRUE
2016;1;"B6";"SASO";"d1";2;45;TRUE
2016;1;"C1";"BEMA";"d1";1;37;TRUE
2016;1;"C1";"HOMA";"d1";32;3;TRUE
2016;1;"C1";"LEMA";"d1";4;41;TRUE
2016;1;"C1";"SASO";"d1";1;35;TRUE
2016;1;"C2";"BEMA";"d1";0;58;FALSE
2016;1;"C2";"HOMA";"d1";42;3;FALSE
2016;1;"C2";"LEMA";"d1";3;45;FALSE
2016;1;"C2";"PUPA";"d1";3;31;FALSE
2016;1;"C2";"SASO";"d1";0;49;FALSE
2016;1;"C3";"BEMA";"d1";0;30;FALSE
