"plot";"subplot";"focal";"distance";"neigh_intra";"neigh_inter";"edge"
1;"A1";"HOMA";"d1";35;1;TRUE
1;"A1";"LEMA";"d1";1;20;TRUE
1;"A2";"HOMA";"d1";40;0;TRUE
1;"A2";"LEMA";"d1";1;30;TRUE
1;"A3";"HOMA";"d1";40;1;TRUE
1;"A3";"LEMA";"d1";2;32;TRUE
1;"A4";"HOMA";"d1";40;1;TRUE
1;"A4";"LEMA";"d1";0;25;TRUE
1;"A5";"HOMA";"d1";35;0;TRUE
1;"A5";"LEMA";"d1";1;27;TRUE
1;"A6";"HOMA";"d1";35;1;TRUE
1;"A6";"LEMA";"d1";0;30;TRUE
1;"B1";"HOMA";"d1";40;2;TRUE
1;"B1";"LEMA";"d1";2;20;TRUE
1;"B2";"HOMA";"d1";35;1;FALSE
1;"B2";"LEMA";"d1";3;30;FALSE
1;"B3";"HOMA";"d1";35;2;FALSE
1;"B3";"LEMA";"d1";2;20;FALSE
1;"B4";"HOMA";"d1";35;2;FALSE
1;"B4";"LEMA";"d1";2;20;FALSE
1;"B5";"HOMA";"d1";40;2;FALSE
1;"B5";"LEMA";"d1";1;20;FALSE
1;"B6";"HOMA";"d1";35;1;TRUE
1;"B6";"LEMA";"d1";2;40;TRUE
1;"C1";"HOMA";"d1";30;1;TRUE
1;"C1";"LEMA";"d1";0;60;TRUE
1;"C2";"HOMA";"d1";40;0;FALSE
1;"C2";"LEMA";"d1";1;20;FALSE
1;"C3";"HOMA";"d1";35;2;FALSE
1;"C3";"LEMA";"d1";0;40;FALSE
1;"C4";"HOMA";"d1";40;0;FALSE
1;"C4";"LEMA";"d1";1;20;FALSE
1;"C5";"HOMA";"d1";20;2;FALSE
1;"C5";"LEMA";"d1";0;40;FALSE
1;"C6";"HOMA";"d1";40;2;TRUE
1;"C6";"LEMA";"d1";1;20;TRUE
1;"C6";"POMA";"d1";1;30;TRUE
1;"D1";"HOMA";"d1";30;2;TRUE
1;"D1";"LEMA";"d1";1;32;TRUE
1;"D2";"HOMA";"d1";30;2;FALSE
1;"D2";"LEMA";"d1";2;21;FALSE
1;"D3";"HOMA";"d1";25;2;FALSE
1;"D3";"LEMA";"d1";3;20;FALSE
1;"D4";"HOMA";"d1";40;0;FALSE
1;"D4";"LEMA";"d1";2;17;FALSE
1;"D5";"HOMA";"d1";30;1;FALSE
1;"D5";"LEMA";"d1";0;30;FALSE
1;"D5";"MEEL";"d1";1;10;FALSE
