"plot";"subplot";"focal";"distance";"neigh_intra";"neigh_inter";"edge"
1;"A1";"PAIN";"d1";5;0;TRUE
1;"A2";"PAIN";"d1";3;0;TRUE
1;"A3";"PAIN";"d1";5;0;TRUE
1;"A4";"PAIN";"d1";6;0;TRUE
1;"A5";"PAIN";"d1";3;0;TRUE
1;"A6";"PAIN";"d1";5;0;TRUE
1;"B1";"PAIN";"d1";3;0;TRUE
1;"B2";"PAIN";"d1";1;0;FALSE
1;"B3";"PAIN";"d1";4;0;FALSE
1;"B4";"PAIN";"d1";3;0;FALSE
1;"B5";"PAIN";"d1";3;0;FALSE
1;"B6";"PAIN";"d1";2;0;TRUE
1;"C1";"PAIN";"d1";3;0;TRUE
1;"C2";"PAIN";"d1";5;0;FALSE
1;"C3";"PAIN";"d1";4;0;FALSE
1;"C4";"PAIN";"d1";4;0;FALSE
1;"C5";"PAIN";"d1";2;0;FALSE
1;"C6";"PAIN";"d1";2;0;TRUE
1;"C6";"POMA";"d1";1;0;TRUE
1;"D1";"PAIN";"d1";6;1;TRUE
1;"D2";"PAIN";"d1";6;0;FALSE
1;"D3";"PAIN";"d1";4;0;FALSE
1;"D4";"PAIN";"d1";5;0;FALSE
1;"D5";"MEEL";"d1";1;3;FALSE
1;"D5";"MEEL";"d1";1;2;FALSE
1;"D5";"MEEL";"d1";1;3;FALSE
1;"D5";"MEEL";"d1";1;2;FALSE
1;"D5";"MESU";"d1";0;0;FALSE
1;"D5";"PAIN";"d1";2;0;FALSE
1;"D6";"PAIN";"d1";7;0;TRUE
1;"E1";"PAIN";"d1";10;0;TRUE
1;"E2";"PAIN";"d1";6;0;FALSE
1;"E3";"PAIN";"d1";5;1;FALSE
1;"E4";"MESU";"d1";0;3;FALSE
1;"E4";"PAIN";"d1";3;2;FALSE
1;"E5";"MESU";"d1";2;0;FALSE
1;"E5";"PAIN";"d1";3;1;FALSE
1;"E6";"PAIN";"d1";2;0;TRUE
1;"F1";"MESU";"d1";1;0;TRUE
1;"F1";"PAIN";"d1";10;0;TRUE
1;"F2";"PAIN";"d1";10;0;TRUE
1;"F3";"PAIN";"d1";10;0;TRUE
1;"F4";"MESU";"d1";3;0;TRUE
1;"F4";"PAIN";"d1";2;3;TRUE
1;"F5";"MESU";"d1";1;2;TRUE
1;"F5";"PAIN";"d1";4;2;TRUE
1;"F6";"MESU";"d1";0;0;TRUE
1;"F6";"PAIN";"d1";5;0;TRUE
2;"A1";"PAIN";"d1";10;0;TRUE
2;"A2";"PAIN";"d1";10;0;TRUE
2;"A3";"PAIN";"d1";8;0;TRUE
2;"A4";"MESU";"d1";2;0;TRUE
2;"A4";"PAIN";"d1";5;0;TRUE
2;"A5";"CETE";"d1";3;5;TRUE
2;"A5";"MESU";"d1";1;2;TRUE
2;"A5";"PAIN";"d1";3;0;TRUE
2;"A6";"CETE";"d1";1;3;TRUE
2;"A6";"MESU";"d1";2;3;TRUE
2;"A6";"PAIN";"d1";3;3;TRUE
2;"B1";"MESU";"d1";4;0;TRUE
2;"B1";"PAIN";"d1";10;2;TRUE
2;"B2";"MESU";"d1";5;4;FALSE
2;"B2";"PAIN";"d1";5;0;FALSE
2;"B3";"PAIN";"d1";7;1;FALSE
2;"B4";"CETE";"d1";1;1;FALSE
2;"B4";"MESU";"d1";2;1;FALSE
2;"B4";"PAIN";"d1";6;0;FALSE
2;"B5";"MESU";"d1";1;2;FALSE
2;"B5";"PAIN";"d1";10;0;FALSE
2;"B6";"BEMA";"d1";4;1;TRUE
2;"B6";"BEMA";"d1";4;3;TRUE
2;"B6";"BEMA";"d1";4;0;TRUE
2;"B6";"BEMA";"d1";4;1;TRUE
2;"B6";"BEMA";"d1";4;1;TRUE
2;"B6";"BEMA";"d1";3;1;TRUE
2;"B6";"BEMA";"d1";3;3;TRUE
2;"B6";"BEMA";"d1";3;0;TRUE
2;"B6";"BEMA";"d1";3;1;TRUE
2;"B6";"BEMA";"d1";3;1;TRUE
2;"B6";"BEMA";"d1";1;1;TRUE
2;"B6";"BEMA";"d1";1;3;TRUE
2;"B6";"BEMA";"d1";1;0;TRUE
2;"B6";"BEMA";"d1";1;1;TRUE
2;"B6";"BEMA";"d1";1;1;TRUE
2;"B6";"BEMA";"d1";2;1;TRUE
2;"B6";"BEMA";"d1";2;3;TRUE
2;"B6";"BEMA";"d1";2;0;TRUE
2;"B6";"BEMA";"d1";2;1;TRUE
2;"B6";"BEMA";"d1";2;1;TRUE
2;"B6";"BEMA";"d1";2;1;TRUE
2;"B6";"BEMA";"d1";2;3;TRUE
2;"B6";"BEMA";"d1";2;0;TRUE
2;"B6";"BEMA";"d1";2;1;TRUE
2;"B6";"BEMA";"d1";2;1;TRUE
2;"B6";"PAIN";"d1";4;0;TRUE
2;"B6";"POMA";"d1";3;0;TRUE
2;"C1";"MESU";"d1";2;2;TRUE
2;"C1";"PAIN";"d1";10;1;TRUE
2;"C2";"CETE";"d1";0;6;FALSE
2;"C2";"PAIN";"d1";10;0;FALSE
2;"C3";"PAIN";"d1";6;0;FALSE
2;"C4";"CETE";"d1";0;2;FALSE
2;"C4";"MESU";"d1";2;3;FALSE
2;"C4";"PAIN";"d1";3;0;FALSE
2;"C5";"MESU";"d1";3;0;FALSE
2;"C5";"PAIN";"d1";2;2;FALSE
2;"C6";"CETE";"d1";0;0;TRUE
2;"C6";"PAIN";"d1";7;1;TRUE
2;"C6";"POMA";"d1";3;0;TRUE
2;"D1";"MESU";"d1";4;2;TRUE
2;"D1";"PAIN";"d1";3;0;TRUE
2;"D2";"MESU";"d1";2;0;FALSE
2;"D2";"PAIN";"d1";2;0;FALSE
2;"D3";"MESU";"d1";3;0;FALSE
2;"D3";"PAIN";"d1";1;1;FALSE
2;"D4";"MESU";"d1";4;0;FALSE
2;"D4";"PAIN";"d1";2;1;FALSE
2;"D5";"MESU";"d1";6;0;FALSE
2;"D5";"PAIN";"d1";1;0;FALSE
2;"D6";"PAIN";"d1";3;1;TRUE
2;"D6";"POMA";"d1";1;1;TRUE
2;"E1";"MESU";"d1";1;2;TRUE
2;"E1";"PAIN";"d1";6;0;TRUE
2;"E2";"MESU";"d1";5;0;FALSE
2;"E2";"PAIN";"d1";1;0;FALSE
2;"E3";"MESU";"d1";5;0;FALSE
2;"E3";"PAIN";"d1";1;3;FALSE
2;"E4";"MESU";"d1";5;0;FALSE
2;"E4";"PAIN";"d1";1;2;FALSE
2;"E5";"MESU";"d1";5;0;FALSE
2;"E5";"PAIN";"d1";2;0;FALSE
2;"E6";"CETE";"d1";2;0;TRUE
2;"E6";"MEEL";"d1";1;2;TRUE
2;"E6";"MESU";"d1";1;1;TRUE
2;"E6";"PAIN";"d1";1;2;TRUE
2;"F1";"MESU";"d1";5;2;TRUE
2;"F1";"PAIN";"d1";2;1;TRUE
2;"F2";"MESU";"d1";5;0;TRUE
2;"F2";"PAIN";"d1";5;2;TRUE
2;"F3";"MESU";"d1";3;6;TRUE
2;"F3";"PAIN";"d1";4;0;TRUE
2;"F4";"CETE";"d1";2;0;TRUE
2;"F4";"PAIN";"d1";1;0;TRUE
2;"F5";"CETE";"d1";4;0;TRUE
2;"F5";"CHMI";"d1";0;0;TRUE
2;"F5";"CHMI";"d1";0;0;TRUE
2;"F5";"CHMI";"d1";0;0;TRUE
2;"F5";"CHMI";"d1";0;2;TRUE
2;"F5";"CHMI";"d1";0;0;TRUE
2;"F5";"CHMI";"d1";0;0;TRUE
2;"F5";"CHMI";"d1";0;0;TRUE
2;"F5";"CHMI";"d1";0;0;TRUE
2;"F5";"CHMI";"d1";0;2;TRUE
2;"F5";"CHMI";"d1";0;0;TRUE
2;"F5";"CHMI";"d1";0;0;TRUE
2;"F5";"CHMI";"d1";0;0;TRUE
2;"F5";"CHMI";"d1";0;0;TRUE
2;"F5";"CHMI";"d1";0;2;TRUE
2;"F5";"CHMI";"d1";0;0;TRUE
2;"F5";"CHMI";"d1";0;0;TRUE
2;"F5";"CHMI";"d1";0;0;TRUE
2;"F5";"CHMI";"d1";0;0;TRUE
2;"F5";"CHMI";"d1";0;2;TRUE
2;"F5";"CHMI";"d1";0;0;TRUE
2;"F5";"CHMI";"d1";0;0;TRUE
2;"F5";"CHMI";"d1";0;0;TRUE
2;"F5";"CHMI";"d1";0;0;TRUE
2;"F5";"CHMI";"d1";0;2;TRUE
2;"F5";"CHMI";"d1";0;0;TRUE
2;"F5";"MESU";"d1";5;3;TRUE
2;"F5";"PAIN";"d1";2;0;TRUE
2;"F6";"MESU";"d1";4;0;TRUE
2;"F6";"PAIN";"d1";3;0;TRUE
3;"A1";"PAIN";"d1";1;0;TRUE
3;"A2";"PAIN";"d1";2;0;TRUE
3;"A3";"PAIN";"d1";2;0;TRUE
3;"A4";"PAIN";"d1";3;0;TRUE
3;"A5";"PAIN";"d1";6;0;TRUE
3;"A6";"PAIN";"d1";5;0;TRUE
3;"B1";"PAIN";"d1";1;0;TRUE
3;"B2";"PAIN";"d1";2;0;FALSE
3;"B3";"PAIN";"d1";3;0;FALSE
3;"B4";"PAIN";"d1";2;2;FALSE
3;"B5";"PAIN";"d1";8;0;FALSE
3;"B6";"MESU";"d1";0;0;TRUE
