"Plant_Simple";"Group";"Plot";"Subplot";"visits";"neigh.visits"
"CHFU";"Bees";6;"F2";1;0
"CHMI";"Bees";6;"F2";0;0
"HOMA";"Bees";6;"F2";0;0
"LEMA";"Bees";6;"F2";0;0
"ME";"Bees";6;"F2";0;0
"PUPA";"Bees";6;"F2";0;0
"RAPE";"Bees";6;"F2";0;0
"CHFU";"Beetles";6;"F2";0;0
"CHMI";"Beetles";6;"F2";0;0
"HOMA";"Beetles";6;"F2";0;1
"LEMA";"Beetles";6;"F2";0;1
"ME";"Beetles";6;"F2";0;0
"PUPA";"Beetles";6;"F2";0;0
"RAPE";"Beetles";6;"F2";0;0
"CHFU";"Flies";6;"F2";0;0
"CHMI";"Flies";6;"F2";0;0
"HOMA";"Flies";6;"F2";0;0
"LEMA";"Flies";6;"F2";0;0
"ME";"Flies";6;"F2";0;0
"PUPA";"Flies";6;"F2";0;0
"RAPE";"Flies";6;"F2";0;0
"CHFU";"Butterflies";6;"F2";0;0
"CHMI";"Butterflies";6;"F2";0;0
"HOMA";"Butterflies";6;"F2";0;0
"LEMA";"Butterflies";6;"F2";0;0
"ME";"Butterflies";6;"F2";0;0
"PUPA";"Butterflies";6;"F2";0;0
"RAPE";"Butterflies";6;"F2";0;0
"CHFU";"Bees";8;"F2";0;0
"CHMI";"Bees";8;"F2";0;0
"HOMA";"Bees";8;"F2";0;0
"LEMA";"Bees";8;"F2";0;0
"ME";"Bees";8;"F2";0;1
"PUPA";"Bees";8;"F2";0;0
"RAPE";"Bees";8;"F2";0;0
"CHFU";"Beetles";8;"F2";0;0
"CHMI";"Beetles";8;"F2";0;0
"HOMA";"Beetles";8;"F2";0;0
"LEMA";"Beetles";8;"F2";0;3
"ME";"Beetles";8;"F2";0;0
"PUPA";"Beetles";8;"F2";0;0
"RAPE";"Beetles";8;"F2";0;0
"CHFU";"Flies";8;"F2";0;4
"CHMI";"Flies";8;"F2";0;0
"HOMA";"Flies";8;"F2";0;0
"LEMA";"Flies";8;"F2";0;2
"ME";"Flies";8;"F2";0;0
"PUPA";"Flies";8;"F2";1;6
"RAPE";"Flies";8;"F2";0;0
"CHFU";"Butterflies";8;"F2";0;0
"CHMI";"Butterflies";8;"F2";0;0
