"year";"plot";"subplot";"focal";"distance";"neigh_intra";"neigh_inter";"edge"
2016;1;"A1";"LEMA";"d1";1;0;TRUE
2016;1;"A2";"LEMA";"d1";4;0;TRUE
2016;1;"A3";"LEMA";"d1";2;0;TRUE
2016;1;"A4";"LEMA";"d1";0;0;TRUE
2016;1;"A5";"LEMA";"d1";0;0;TRUE
2016;1;"A6";"LEMA";"d1";0;0;TRUE
2016;1;"B1";"LEMA";"d1";4;0;TRUE
2016;1;"B2";"LEMA";"d1";1;0;FALSE
2016;1;"B3";"LEMA";"d1";0;0;FALSE
2016;1;"B4";"LEMA";"d1";2;0;FALSE
2016;1;"B5";"LEMA";"d1";0;0;FALSE
2016;1;"B6";"LEMA";"d1";1;0;TRUE
2016;1;"C1";"LEMA";"d1";4;0;TRUE
2016;1;"C2";"LEMA";"d1";3;0;FALSE
2016;1;"C3";"LEMA";"d1";2;0;FALSE
2016;1;"C4";"LEMA";"d1";4;0;FALSE
2016;1;"C5";"LEMA";"d1";6;0;FALSE
2016;1;"C6";"LEMA";"d1";7;0;TRUE
2016;1;"D1";"LEMA";"d1";5;0;TRUE
2016;1;"D2";"LEMA";"d1";7;0;FALSE
2016;1;"D3";"LEMA";"d1";4;0;FALSE
2016;1;"D4";"LEMA";"d1";2;0;FALSE
2016;1;"D5";"LEMA";"d1";3;0;FALSE
2016;1;"D6";"LEMA";"d1";1;0;TRUE
2016;1;"E1";"LEMA";"d1";8;0;TRUE
2016;1;"E2";"LEMA";"d1";7;0;FALSE
2016;1;"E3";"LEMA";"d1";7;0;FALSE
2016;1;"E4";"LEMA";"d1";5;0;FALSE
2016;1;"E5";"LEMA";"d1";2;0;FALSE
2016;1;"E6";"LEMA";"d1";4;0;TRUE
2016;1;"F1";"LEMA";"d1";6;0;TRUE
2016;1;"F2";"LEMA";"d1";5;0;TRUE
2016;1;"F3";"LEMA";"d1";4;0;TRUE
2016;1;"F4";"LEMA";"d1";3;0;TRUE
2016;1;"F5";"LEMA";"d1";9;0;TRUE
2016;1;"F6";"LEMA";"d1";4;0;TRUE
2016;2;"A1";"LEMA";"d1";2;0;TRUE
2016;2;"A2";"LEMA";"d1";2;0;TRUE
2016;2;"A3";"LEMA";"d1";2;0;TRUE
2016;2;"A4";"LEMA";"d1";2;0;TRUE
2016;2;"A5";"LEMA";"d1";3;0;TRUE
2016;2;"A6";"LEMA";"d1";2;0;TRUE
2016;2;"B1";"LEMA";"d1";2;0;TRUE
2016;2;"B2";"LEMA";"d1";2;0;FALSE
2016;2;"B3";"LEMA";"d1";3;0;FALSE
2016;2;"B4";"LEMA";"d1";1;0;FALSE
2016;2;"B5";"LEMA";"d1";3;0;FALSE
2016;2;"B6";"LEMA";"d1";6;0;TRUE
2016;2;"C1";"LEMA";"d1";1;0;TRUE
2016;2;"C2";"LEMA";"d1";1;0;FALSE
2016;2;"C3";"LEMA";"d1";0;0;FALSE
2016;2;"C4";"LEMA";"d1";1;0;FALSE
2016;2;"C5";"LEMA";"d1";2;0;FALSE
2016;2;"C6";"LEMA";"d1";4;0;TRUE
2016;2;"D1";"LEMA";"d1";4;0;TRUE
2016;2;"D2";"LEMA";"d1";2;0;FALSE
2016;2;"D3";"LEMA";"d1";4;0;FALSE
2016;2;"D4";"LEMA";"d1";3;0;FALSE
2016;2;"D5";"LEMA";"d1";3;0;FALSE
2016;2;"D6";"LEMA";"d1";5;0;TRUE
2016;2;"E1";"LEMA";"d1";3;0;TRUE
2016;2;"E2";"LEMA";"d1";5;0;FALSE
2016;2;"E3";"LEMA";"d1";2;0;FALSE
2016;2;"E4";"LEMA";"d1";6;0;FALSE
2016;2;"E5";"LEMA";"d1";1;0;FALSE
2016;2;"E6";"LEMA";"d1";2;0;TRUE
2016;2;"F1";"LEMA";"d1";1;0;TRUE
2016;2;"F2";"LEMA";"d1";4;0;TRUE
2016;2;"F3";"LEMA";"d1";1;0;TRUE
2016;2;"F4";"LEMA";"d1";6;0;TRUE
2016;2;"F5";"LEMA";"d1";4;0;TRUE
2016;2;"F6";"LEMA";"d1";3;0;TRUE
2016;3;"A2";"LEMA";"d1";1;0;TRUE
2016;3;"A3";"LEMA";"d1";0;0;TRUE
2016;3;"A4";"LEMA";"d1";0;0;TRUE
2016;3;"A5";"LEMA";"d1";0;0;TRUE
2016;3;"A6";"LEMA";"d1";1;0;TRUE
2016;3;"B1";"LEMA";"d1";0;0;TRUE
2016;3;"B2";"LEMA";"d1";1;0;FALSE
2016;3;"B3";"LEMA";"d1";2;0;FALSE
2016;3;"B4";"LEMA";"d1";0;0;FALSE
2016;3;"B5";"LEMA";"d1";1;0;FALSE
2016;3;"B6";"LEMA";"d1";0;0;TRUE
2016;3;"C2";"LEMA";"d1";3;0;FALSE
2016;3;"C3";"LEMA";"d1";5;0;FALSE
2016;3;"C4";"LEMA";"d1";3;0;FALSE
2016;3;"C5";"LEMA";"d1";4;0;FALSE
2016;3;"C6";"LEMA";"d1";0;0;TRUE
2016;3;"D2";"LEMA";"d1";1;0;FALSE
2016;3;"D3";"LEMA";"d1";6;0;FALSE
2016;3;"D4";"LEMA";"d1";2;0;FALSE
2016;3;"D5";"LEMA";"d1";5;0;FALSE
2016;3;"D6";"LEMA";"d1";0;0;TRUE
2016;3;"E1";"LEMA";"d1";0;0;TRUE
2016;3;"E2";"LEMA";"d1";3;0;FALSE
2016;3;"E3";"LEMA";"d1";1;0;FALSE
2016;3;"E4";"LEMA";"d1";3;0;FALSE
2016;3;"E5";"LEMA";"d1";8;0;FALSE
2016;3;"E6";"LEMA";"d1";1;0;TRUE
2016;3;"F1";"LEMA";"d1";6;0;TRUE
2016;3;"F2";"LEMA";"d1";3;0;TRUE
2016;3;"F3";"LEMA";"d1";2;0;TRUE
2016;3;"F4";"LEMA";"d1";5;0;TRUE
2016;3;"F5";"LEMA";"d1";11;0;TRUE
2016;3;"F6";"LEMA";"d1";4;0;TRUE
2016;4;"A1";"LEMA";"d1";0;0;TRUE
2016;4;"A2";"LEMA";"d1";2;0;TRUE
2016;4;"A3";"LEMA";"d1";1;0;TRUE
2016;4;"A4";"LEMA";"d1";0;0;TRUE
2016;4;"A5";"LEMA";"d1";1;0;TRUE
2016;4;"A6";"LEMA";"d1";0;0;TRUE
2016;4;"B1";"LEMA";"d1";1;0;TRUE
